EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG12055	ccmE	P69490	g1788525	Heme chaperone, membrane-anchored, periplasmic
EG12057	ccmC	P0ABM1	g1788527	ABC transporter, heme binding; CcmABCD transporter complex; delivers heme to and interacts with CcmE
EG12058	ccmB	P0ABL8	g1788528	ABC transporter, ATPase subunit; CcmABCD transporter complex; probably not heme exporter
EG12059	ccmA	P33931	g87082064	ABC transporter, integral membrane translocase subunit; CcmABCD transporter complex; probably not heme exporter
EG12060	napC	P0ABL5	g1788530	Quinol dehydrogenase, electron source for NapAB; membrane-bound; bound hemes
EG12061	napB	P0ABL3	g87082065	Nitrate reductase, periplasmic
EG12062	napH	P33934	g1788532	Quinol dehydrogenase, membrane protein; polyferredoxin; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulfur protein
EG12064	napG	P0AAL3	g1788533	Quinol dehydrogenase, periplasmic protein; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulfur protein
EG12067	napA	P33937	g1788534	Nitrate reductase, periplasmic
EG12068	napF	P0AAL0	g1788536	Required for NapAB nitrate-dependent growth with ubiquinone; not essential for electron transfer from ubiquinol or menaquinol to NapAB (Brondijk, 2002); may have energy-conservng role in ubiquinol oxidation; non-haem, iron-sulfur protein
EG12069	mqo	P33940	g1788539	Malate oxidoreductase; possibly previously described FAD-dependent phospholipid-activated malate oxidase
EG12070	yojI	P33941	g1788540	Microcin J25 efflux pump, TolC-dependent
EG12073	apbE	P0AB85	g1788543	Lipoprotein involved in thiamine synthesis; primarily characterized in Salmonella
EG12074	mokC	P33236	g1786200	Overlapping regulatory peptide, enables hokC expression
EG12075	nikA	P33590	g1789887	Nickel-binding, heme-binding periplasmic protein
EG12076	nikB	P33591	g1789888	Nickel transport system permease
EG12077	nikC	P0AFA9	g1789889	Nickel transport system permease
EG12078	nikD	P33593	g1789890	Nickel transport ATP-binding protein
EG12079	nikE	P33594	g1789891	Nickel transport ATP-binding protein
EG12080	recX	P33596	g1789050	Blocks RecA filament extension; inhibitor of RecA ATPase, recombinase and coprotease activities; null mutant and over-expressors have reduced resistance to DNA damage; binding to RecA is antagonized by RecF
EG12081	ppdA	P33554	g1789190	Function unknown; regulated by FlhDC and FliA; mutants are not defective in motlity or chemotaxis; first 6 residues may be cleaved by prepilin peptidase to leave an N-terminal methyltyrosine
EG12082	nuoA	P0AFC3	g1788625	NADH:ubiquinone oxidoreductase subunit A, complex I; NADH dehydrogenase I
EG12083	nuoB	P0AFC7	g1788624	NADH:ubiquinone oxidoreductase subunit B, complex I; NADH dehydrogenase I
EG12084	nuoC	P33599	g1788622	NADH:ubiquinone oxidoreductase, fused CD subunit, complex I; NADH dehydrogenase I
EG12086	nuoE	P0AFD1	g1788621	NADH:ubiquinone oxidoreductase subunit E, complex I; NADH dehydrogenase I
EG12087	nuoG	P33602	g1788619	NADH:ubiquinone oxidoreductase subunit G, complex I; NADH dehydrogenase I
EG12088	nuoH	P0AFD4	g1788618	NADH:ubiquinone oxidoreductase subunit H, complex I; NADH dehydrogenase I
EG12089	nuoI	P0AFD6	g1788617	NADH:ubiquinone oxidoreductase subunit I, complex I; NADH dehydrogenase I
EG12090	nuoJ	P0AFE0	g1788616	NADH:ubiquinone oxidoreductase subunit J, complex I; NADH dehydrogenase I
EG12091	nuoK	P0AFE4	g1788615	NADH:ubiquinone oxidoreductase subunit K, complex I; NADH dehydrogenase I
EG12092	nuoL	P33607	g1788614	NADH:ubiquinone oxidoreductase subunit L, complex I; NADH dehydrogenase I; NuoL facilitates the uptake of Na(+), is homologus to antiporters, and is implicated in proton pumping
EG12093	nuoN	P0AFF0	g1788612	NADH:ubiquinone oxidoreductase subunit N, complex I; NADH dehydrogenase I
EG12094	sgrR	P33595	g1786256	Transcriptional activator of sgrS sRNA; sgrS destabilizes ptsG mRNA
EG12095	secG	P0AG99	g1789565	SecYEG inner membrane translocon secA-interacting subunit; preprotein translocase secAYEG subunit; preprotein translocase secAYEG subunit
EG12096	chpB	P33647	g1790672	ChpB toxin and mRNA interferase, antitoxin is ChpS; reversible inhibitor of translation, by mRNA cleavage
EG12097	yfiH	P33644	g1788945	Function unknown, UPF0124 family
EG12098	rluD	P33643	g1788946	23S rRNA pseudouridine synthase; specific to U1911, U1915, and U1917; mutation supresses ftsH(Ts) mutants; null mutants grow very poorly
EG12099	efp	P0A6N4	g1790590	Elongation factor EF-P, stimulates fMet dipeptide synthesis
EG12100	tktB	P33570	g1788808	Transketolase B; binds Zn(II)
EG12101	feoA	P0AEL3	g1789812	Ferrous iron uptake, required for full FeoB activity
EG12102	feoB	P33650	g1789813	Ferrous iron uptake GTP-binding membrane protein; N-terminus is a cytoplasmic G protein
EG12103	gapC'	P33898	g87081902	Pseudogene reconstruction, GAP dehydrogenase; glyceraldehyde 3-phosphate dehydrogenase C
EG12104	yeiR	P33030	g1788499	Function unknown
EG12105	yeiE	P0ACR4	g1788481	Probable positive regulator of lysP transcription
EG12106	hofB	P36645	g1786296	Homologous to PilB of Pseudomonas aeruginosa; function not established, insertion mutation gives no phenotype
EG12107	ppdD	P36647	g1786297	Type IV pilin; function unknown; first 6 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
EG12108	norR	P37013	g87082152	Transcription regulator for norVW, NO-responsive; Sigma54-dependent activator with a GAF domain
EG12110	ydcF	P34209	g1787683	SAM-binding protein, function unknown; low abundance protein
EG12111	nlpD	P0ADA3	g1789099	Activator of AmiC murein hydrolase activity, lipoprotein
EG12112	alpA	P33997	g1788977	Alp protease, CP4-57 putative defective prophage; regulates intA (slp [suppressor of Lon])
EG12113	hofQ	P34749	g1789793	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComE homolog
EG12114	prfC	P0A7I4	g1790835	Peptide chain release factor 3, RF-3; stimulates activity of RF-1 and RF-2
EG12115	yjjG	P0A8Y1	g1790833	Noncanonical pyrimidine nucleotide house-cleaning phosphatase; dUMP phosphatase activity
EG12116	acrR	P0ACS9	g1786669	Transcriptional repressor for acrAB
EG12119	ychJ	P37052	g1787484	Function unknown, UPF0225 family
EG12120	rssA	P0AFR0	g1787485	Conserved protein, patatin-like family, function unknown
EG12121	rssB	P0AEV1	g1787487	Response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase; major cognate sensor kinase is ArcB
EG12122	yggI	P39902	g1789313	Function unknown
EG12123	lrhA	P36771	g1788626	Transcriptional repressor of flagellar and motility master regulator FlhDC; autoregulator; mutation confers lower RpoS levels, modulates rssB activity
EG12124	hisJ	P0AEU0	g1788648	Histidine-binding protein of high-affinity histidine transport system
EG12125	hisQ	P52094	g1788646	Histidine transport permease
EG12126	kdpF	P36937	g87081773	Inner membrane protein for high-affinity potassium transport
EG12127	treB	P36672	g2367362	Trehalose permease PTS EIIBC component
EG12128	lgt	P60955	g1789192	Phosphatidylglycerol:prolipoprotein diacylglycerol transferase
EG12129	uraA	P0AGM7	g1788843	Uracil permease; affects concentration dependence of pyr mutants
EG12130	hscA	P0A6Z1	g1788875	Hsc66, DnaK-like chaperone, specific for IscU; involved in FtsZ-ring formation; HscB is the J-like co-chaperone for HscA
EG12131	hscB	P0A6L9	g1788876	Hsc20, DnaJ-like co-chaperone for HscA; specific for IscU
EG12132	iscA	P0AAC8	g1788877	Recruit and deliver Fe for Fe-S cluster assembly in IscU; possibly an alternative scaffold for Fe-S cluster assembly
EG12133	ucpA	P37440	g87082100	Predicted  short-chain oxidoreductase
EG12134	rhtA	P0AA67	g1787033	Transporter involved in threonine and homoserine efflux; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine
EG12135	ompX	P0A917	g1787034	Outer membrane protein X; role in inducing RNAP-sigma E production
EG12136	mdtD	P36554	g1788392	Predicted transporter, function unknown; no MDR phenotype when mutated or cloned; fourth gene in mdtABCDbaeRS operon
EG12137	nlpE	P40710	g1786390	Lipoprotein activating Cpx in response to adhesion; copper resistance; outer membrane protein
EG12138	yaeF	P37056	g87081699	Predicted lipoprotein, function unknown; Cys conserved
EG12139	yfhG	P0AD44	g1788906	OM protein affecting QseEF response in EPEC; autorepressor activity in EPEC; required for translocation of TTSS effectors in EPEC; transcription activated by AI-3/epinephrine/norepinephrine via QseC in EPEC
EG12140	ydhB	P0ACR2	g1787949	Function unknown, LysR family of transcriptional regulators
EG12141	ydhC	P37597	g48994889	Putative transporter, function unknown; no overexpression resistances found
EG12142	sdaC	P0AAD6	g1789160	Serine:H+ symport permease, threonine-insensitive
EG12143	napD	P0A9I5	g1788535	Twin-arginine signal-peptide-binding chaperone for NapA
EG12144	pgm	P36938	g1786904	Phosphoglucomutase
EG12146	yhbJ	P0A894	g1789598	Senses glucosamine-6-phosphate and inactivates glmZ sRNA; NTPase
EG12147	npr	P0A9N0	g1789599	NPr, N-regulated HPr-like protein
EG12148	galP	P0AEP1	g1789312	D-Galactose/H+ symporter
EG12149	asr	P36560	g87081945	Acid shock-inducible periplasmic protein required for acid tolerance; expression controlled by phoBR
EG12150	cobS	P36561	g1788301	Cobalamin synthase; partial cobalamin biosynthesis pathway present in E. coli
EG12151	cobT	P36562	g1788300	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase; partial cobalamin biosynthesis pathway present in E. coli
EG12152	idnK	P39208	g1790719	D-gluconate kinase
EG12153	narU	P37758	g1787743	Nitrite extrusion protein 2
EG12154	sieB	P38392	g87081885	Superinfection exclusion protein, Rac prophage
EG12155	kilR	P38393	g87081884	Killing function of the Rac prophage during zygotic induction; causes cell division arrest and altered cell morphology, suppressed by ftsZ overexpression
EG12156	ydaE	P38394	g87081883	Metallothionein, function unknown, Rac prophage
EG12157	ydaF	P0ACW0	g87081886	Function unknown, Rac prophage
EG12158	rdgC	P36767	g1786592	Competitive inhibitor of RecA function; nucleoid-associated ssDNA and dsDNA binding protein; synthetic lethal with priA
EG12159	yaiE	P0C037	g1786590	Function unknown, UPF0345 family
EG12161	eaeH'	P36943	g1786488	Pseudogene, intimin homolog; N-terminal fragment, interrupted/deleted by IS3A
EG12162	gatR'	P36930	g87082039	Pseudogene reconstruction, repressor for gat operon; interrupted by IS3E
EG12163	rsmB	P36929	g2367212	16S rRNA m(5)C967 methyltransferase, SAM-dependent
EG12164	ytjC	P0A7A2	g1790856	Probable phosphoglycerate mutase B
EG12165	mukF	P60293	g1787152	Chromosome condensin MukBEF, kleisin-like subunit, binds calcium
EG12166	ycbC	P0AB01	g1787150	conserved protein, DUF218 superfamily, function unknown
EG12167	smtA	P36566	g1787151	Putative methyltransferase, SAM-dependent, Hns-regulated
EG12168	brnQ	P0AD99	g1786601	Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val; mutants are valine and o-methylthreonine resistant, glycylvaline sensitive
EG12169	ccmD	P0ABM5	g1788526	ABC transporter, required for holoCcmE release; CcmABCD transporter complex
EG12171	yjjI	P37342	g1790840	Putative glycine radical enzyme, function unknown
EG12172	hinT	P0ACE7	g1787346	Purine nucleoside phosphoramidase; aminoacyl-adenylate hydrolase; physological role unknown
EG12173	gspM	P36678	g87082245	Part of H-NS-silenced gsp divergon, type II protein secretion; cloned gsp divergon secretes ChiA
EG12174	ydaG	P76061	g87081887	Expressed protein, function unknown, Rac prophage
EG12176	yjdC	P0ACU7	g87082374	Putative transcriptional repressor, function unknown
EG12177	cutA	P69488	g1790579	Copper sensitivity, binds Cu(II); possible role in cytochrome c maturation; trimeric
EG12178	dsbD	P36655	g1790578	Transmembrane protein-disulfide reductase, transfers electrons from cytoplasmic thioredoxin to the periplasm
EG12179	cspE	P0A972	g1786841	Binds and melts RNA, involved in cold acclimation; binds ssDNA; antitermination protein; confers camphor sensitvity in a crcB mutant; dimeric
EG12180	pagP	P37001	g1786840	Phospholipid:lipid A palmitoyltransferase; confers resistance to cationic antimicrobial peptides; multicopy suppressor of camphor-induced or mukB mutant chromosome condensation
EG12181	grxD	P0AC69	g1787943	Monothiol glutaredoxin Grx4, with CxxS motif; substrate for thioredoxin reductase; essential gene
EG12182	yajG	P0ADA5	g87081739	Probable lipoprotein, function unknown; Cys conserved
EG12183	ampG	P0AE16	g1786636	Muropeptide permease, imports GlcNAc-anhMurNAc-peptides; required for cloned Citrobacter freundii AmpR-regulated beta-lactamase induction and murein recycling
EG12184	nudF	Q93K97	g1789412	ADP-sugar pyrophosphatase; sole ADP-glucose hydrolase, activity limits glycogen production; one of several ADP-ribose hydrolases; creBC regulon; non-essential
EG12185	yqiB	P0ADU7	g1789411	Function unknown
EG12186	yqiA	P0A8Z7	g1789409	Acyl CoA esterase in vitro, physiological function unknown
EG12187	cpdA	P0AEW4	g1789410	3',5' cAMP phosphodiesterase; mutants have elevated cAMP levels
EG12188	ptsP	P37177	g1789193	PTS PEP-protein phosphotransferase Enzyme I (Ntr)
EG12189	hemF	P36553	g1788777	Coproporphyrinogen III oxidase, oxygen-dependent; stimulated by manganese; dimeric
EG12190	eutR	P36547	g1788778	eut operon transcriptional activator, AraC family; concerted induction requires both B12 and ethanolamine; autoregulatory
EG12191	glnK	P0AC55	g1786655	Potent activator of NRII(GlnL/NtrB) phosphatase; trimeric; regulated through NRI/NRII two-component regulatory system; binds to membrane when inhibiting AmtB
EG12192	nadK	P0A7B3	g1788968	ATP-NAD kinase
EG12193	cbpA	P36659	g1787235	DnaK co-chaperone, binds curved DNA
EG12194	cbpM	P63264	g1787234	Modulator of CbpA co-chaperone activity
EG12195	torD	P36662	g1787232	Redox enzyme maturation protein (REMP) for TorA; cytoplasmic chaperone for TorA activation; GTPase; protects TorA TAT signal peptide from degradation
EG12196	yccE	P36661	g1787236	Function unknown
EG12197	seqA	P0AFY8	g1786903	Sequesters newly replicated hemimethylated oriC origins to prevent re-initiation; binds hemimethylated GATC sequences; SeqA foci required for chromosome segregation; binds and stimulates Topo IV
EG12198	chbG	P37794	g1788028	Member of chb operon, function unknown
EG12200	yegD	P36928	g87082035	Putatitve DnaK-like chaperone, function unknown
EG12201	ygaC	P0AD53	g1789026	Function unknown; Fur regulon
EG12202	treR	P36673	g1790689	Repressor of trehalose operon
EG12203	cspB	P36995	g1787839	Cold shock protein, Qin prophage; cold shock inducible
EG12204	cspC	P0A9Y6	g1788126	Multicopy suppressor of mukB; cold shock protein homolog constitutively expressed at 37C; affects rpoS and uspA expression
EG12205	cspF	P0A976	g1787840	Cold shock protein homolog, Qin prophage; not cold-inducible
EG12207	rlmA	P36999	g1788125	23S rRNA m(1)G745 methyltransferase, SAM-dependent; mutant has slow growth rate, slow chain elongation rate, and viomycin resistance
EG12209	crcB	P37002	g1786842	Inner membrane protein involved with chromosome condensation; confers camphor sensitvity in a cspE mutant; multicopy suppressor of chromosome condensation defects; inner membrane protein
EG12210	rfaF	P37692	g1790050	ADP-heptose:LPS heptosyltransferase II
EG12211	yhhK	P37613	g1789869	Function unknown
EG12212	yhhL	P37614	g1789876	Function unknown, DUF1145 family
EG12213	yhhM	P37615	g1789877	Function unknown, DUF2500 family
EG12214	yhhN	P0ADI9	g1789878	Predicted inner membrane protein, TMEM86 family, function unknown
EG12215	zntA	P37617	g1789879	Zn(II), Cd(II), and Pb(II) translocating P-type ATPase; mutant is hypersensitive to Zn and Cd salts
EG12216	sirA	P0A890	g1789881	2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; motility defect; affects RpoS stability; growth defects suppressed by multicopy ftsZ or dksA
EG12217	yhhQ	P37619	g1789882	Inner membrane protein, DUF165 family, has predicted PurR box
EG12218	dcrB	P0AEE1	g87082269	Probable lipoprotein required for phage C1 adsorption; periplasmic; Cys conserved
EG12219	yhhS	P37621	g87082270	Predicted transporter, function unknown; inner membrane protein
EG12220	yhhT	P0AGM0	g87082271	Predicted membrane permease, inner membrane protein, function unknown; UPF0118 family
EG12221	acpT	P37623	g1789886	CoA-phosphopantetheinyltransferase; native apo-protein substrate unknown, possibly a back-up gene for acpS; multicopy suppressor of acpS1, can modify ACP when overexpressed
EG12223	rbbA	P37624	g48994943	Ribosome-associated ATPase, required for protein synthesis; Protein W; binds protein S1
EG12224	yhiI	P37626	g1789900	Predicted membrane fusion protein (MFP) of efflux pump; function unknown; signal anchor
EG12225	yhiJ	P37627	g1789902	Function unknown
EG12227	yhiL'	P37629	g87082275	Pseudogene reconstruction, FliA regulated
EG12228	yhiM	P37630	g87082276	Inner membrane protein, DUF1323 family, function unknown,
EG12229	yhiN	P37631	g2367234	Predicted oxidoreductase, function unknown
EG12230	pitA	P0AFJ7	g1789907	Low-affinity Pi transport protein
EG12231	uspB	P0A8S5	g1789908	Universal stress protein B, confers ethanol resistance in stationary phase; sigma S-regulated gene divergent from uspA
EG12232	dtpB	P36837	g1789911	Dipeptide and tripeptide permease B
EG12233	yhiQ	P68567	g1789912	Predicted SAM-dependent methyltransferase, function unknown
EG12234	yhiR	P37634	g1789914	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComJ homolog
EG12235	arsR	P37309	g1789916	Arsenate resistance operon repressor; resistance to arsenate, arsenite, and antimonite
EG12236	arsB	P0AB93	g87082277	Arsenite pump, inner membrane; resistance to arsenate, arsenite, and antimonite
EG12237	arsC	P0AB96	g1789918	Arsenate reductase; resistance to arsenate, arsenite, and antimonite
EG12238	yhiS'	P37635	g1789920	Pseudogene reconstruction, interrupted by IS5T
EG12240	mdtE	P37636	g1789929	MdtEF-TolC multidrug resistance efflux transporter; membrane fusion protein (MFP) component, lipoprotein; overexpression resistance to erythromycin, deoxycholate, octane and rhodamine; no mutant phenotype
EG12241	mdtF	P37637	g1789930	MdtEF-TolC multidrug resistance efflux RND-type transporter; overexpression resistance to erythromycin, deoxycholate, octane and rhodamine; no mutant phenoype
EG12242	gadW	P63201	g1789932	Transcriptional activator of gadA and gadBC in absence of GadX; repressor of gadX
EG12243	gadX	P37639	g1789933	Transcriptional activator for gadA and gadBC, AraC family; repressed by HNS and GadW; stimulated by RpoS
EG12244	yhjA	P37197	g1789935	Probable cytochrome c peroxidase; mutants are sensitive to peroxide during anaerobic growth
EG12245	treF	P62601	g1789936	Cytoplasmic trehalase
EG12246	yhjB	P37640	g1789937	Predicted two-component system response regulator, function unknown; CheY-like receiver domain, LuxR-like HTH domain; cognate sensor protein is unknown
EG12247	yhjC	P37641	g1789938	Predicted transcriptional regulator, function unknown
EG12248	yhjD	P37642	g1789939	Suppressor of msbA and KDO essentiality; putative alternate lipid exporter
EG12249	yhjE	P37643	g1789941	Predicted transporter, function unknown; inner membrane protein
EG12251	yhjG	P37645	g2367236	Inner membrane protein, AsmA family, function unknown
EG12252	yhjH	P37646	g87082280	Cyclic-di-GMP phosphodiesterase, FlhDC-regulated; impaired swimming; suppresses motility defect of hns mutants in multicopy
EG12253	kdgK	P37647	g87082281	Ketodeoxygluconokinase
EG12254	yhjJ	P37648	g1789946	Probably secreted protease homolog, function unknown
EG12256	yhjK	P37649	g87082282	Predicted c-di-GMP dual activity enzyme, function unknown; expressed protein
EG12257	bcsC	P37650	g87082283	Oxidase involved in cellulose synthesis
EG12258	bcsZ	P37651	g1789951	Endo-1,4-D-glucanase; breaks down carboxymethylcellulose; periplasmic cellulase
EG12259	bcsB	P37652	g1789952	Cellulose synthase, regulatory subunit; may bind cyclic-di-GMP; probably periplasmic
EG12260	bcsA	P37653	g87082284	Celullose synthase, catalytic subunit; inner membrane protein
EG12261	bcsQ'	P37655	g1789955	Pseudogene reconstruction; cellulose production
EG12262	yhjR	P0ADJ3	g1789956	Putative protein, function unknown
EG12263	bcsE	P37657	g1789958	Required for cellulose production in Salmonella
EG12264	bcsF	P0ADJ5	g87082285	Small membrane protein in an operon required for cellulose production in Salmonella
EG12265	bcsG	P37659	g1789960	Preinner membrane protein, predicted endoglucanase, DUF3260 family; in operon required for cellulose production in Salmonella; endohydrolysis of 1,4-beta-D-glucosidic linkages in cellulose
EG12266	yhjV	P37660	g1789961	Putative amino acid:H+ symport permease, function unknown
EG12267	eptB	P37661	g87082286	KDO phosphoethanolamine transferase, Ca(2+)-inducible; required for Ca(2+) tolerance of heptose-deficient cells
EG12268	yhjX	P37662	g1789969	Predicted oxalate-formate antiporter; inner membrane protein
EG12269	yhjY	P37663	g87082287	Putative outer membrane protein, function unknown
EG12270	yiaC	P37664	g1789972	Predicted acetyltransferase
EG12271	yiaD	P37665	g48994946	Novel verified lipoprotein, function unknown; OmpA homolog
EG12272	ghrB	P37666	g87082289	Glyoxylate/hydroxypyruvate reductase B; 2-ketogluconate reductase; activity higher on hydroxypyruvate than glyoxylate
EG12273	yiaF	P0ADK0	g87082290	Probable lipoprotein, function unknown; Cys conserved
EG12274	wecH	P37669	g1789984	O-acetyltransferase for enterobacterial common antigen (ECA)
EG12275	xylG	P37388	g1789991	D-Xylose ABC transporter ATP-binding subunit, fused tandem domains
EG12276	xylH	P0AGI4	g1789992	D-xylose ABC transporter permease subunit
EG12278	yiaJ	P37671	g1789999	Transcriptional repressor of yiaK-S operon involved with metabolism of an unknown carbohydrate; IclR homolog
EG12279	yiaK	P37672	g1790000	L-dehydroascorbate (2,3-diketo-L-gulonate) reductase, NADH-dependent
EG12280	yiaL	P37673	g1790001	Function unknown; in operon possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12281	yiaM	P37674	g1790002	L-dehydroascorbate transporter, TRAP permease small subunit; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
EG12282	yiaN	P37675	g48994950	L-dehydroascorbate transporter, TRAP permease large subunit; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
EG12283	yiaO	P37676	g1790004	L-dehydroascorbate transporter, periplasmic binding protein; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
EG12284	lyxK	P37677	g1790005	L-xylulose kinase; novel pathway for utilization of lyxose via xylulose through rhamnose and pentose pathways; 3-keto-L-gulonate kinase; possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12285	yiaQ	P37678	g1790006	3-keto-L-gulonate-6-phosphate decarboxylase; required for the aerobic utilization of L-ascorbate
EG12286	yiaR	P37679	g87082294	L-xylulose 5-phosphate 3-epimerase; required for the aerobic utilization of L-ascorbate
EG12287	yiaS	P37680	g1790008	L-ribulose 5-phosphate 4-epimerase; required for the aerobic utilization of L-ascorbate
EG12288	yiaT	P37681	g1790010	Predicted outer membrane protein, function unknown
EG12289	yiaU	P37682	g1790011	Function unknown
EG12290	yiaV	P37683	g1790012	Function unknown; putative membrane fusion protein (MFP) component of efflux pump, signal anchor
EG12291	yiaW	P0ADK4	g1790013	Inner membrane protein, DUF3302 family, function unknown
EG12292	aldB	P37685	g87082295	Aldehyde dehydrogenase, NADP-dependent; tetrameric
EG12293	yiaY	P37686	g48994951	Predicted iron-containing alcohol dehydrogenase, function unknown
EG12294	grxC	P0AC62	g1790039	Glutaredoxin 3
EG12295	yibN	P0AG27	g1790040	Predicted rhodanese, function unknown
EG12296	gpmM	P37689	g1790041	Phosphoglycerate mutase, Mn-dependent; monomeric
EG12297	envC	P37690	g87082297	Activator of AmiB,C  murein hydrolases, septal ring factor; periplasmic; mutant phenotypes: filamentous, sensitivity to crystal violet
EG12298	yibQ	P37691	g87082298	Function unknown
EG12301	rutR	P0ACU2	g1787249	Repressor for rut operon; pyrimidine nitrogen catabolism
EG12302	tmk	P0A720	g1787340	Thymidylate kinase
EG12303	ycfH	P0AFQ7	g1787342	Predicted DNAse, tatD paralog, no Tat phenotype
EG12304	sapD	P0AAH4	g1787548	Antimicrobial peptide transport ABC system ATP-binding protein; required for ATP-dependence of Trk K+ uptake systems
EG12305	sapF	P0AAH8	g1787547	Antimicrobial peptide transport ABC system ATP-binding protein
EG12306	yccF	P0AB12	g1787195	Inner membrane protein, DUF307 family, function unknown
EG12307	mgsA	P0A731	g87081809	Methylglyoxal synthase
EG12308	yfhH	P37767	g87082130	Function unknown
EG12309	yjtD	P37005	g1790865	Putative methyltransferase, function unknown
EG12310	pepB	P37095	g87082123	Peptidase B; broad specificity aminopeptidase
EG12311	iscX	P0C0L9	g1788873	Function unknown; downstream of fdx, isc genes; binds IscS; possibly involved in Fe-S cluster assembly
EG12312	coaE	P0A6I9	g1786292	Dephospho-CoA kinase; final step in CoA synthesis
EG12313	yacF	P36680	g1786291	Function unknown
EG12314	yacG	P0A8H8	g1786290	DNA gyrase inhibitor; Zn(2+)-binding protein
EG12315	yacH	P36682	g1786308	Function unknown
EG12316	acnB	P36683	g2367097	Aconitase B; 2-methylaconitate hydratase; apo-enzyme binds mRNA for negative translational autoregulation; iron-sulfur cluster; monomeric
EG12318	cueO	P36649	g1786314	Multicopper oxidase (laccase), confers copper tolerance; oxidizes model substrate dimethoxyphenol; in vitro ferroxidase and phenoloxidase activities; regulated by copper-responsive CueR activator
EG12319	can	P61517	g1786318	Carbonic anhydrase, beta class
EG12320	yadG	P36879	g1786319	ABC family transporter ATPase, function unknown
EG12321	yadH	P0AFN6	g1786320	ABC family transporter permease, function unknown
EG12322	yadI	P36881	g1786321	Predicted PTS Enzyme IIA, sugar specificity unknown
EG12323	yfaD	P37014	g1788577	Predicted transposase, function unknown
EG12325	yadK	P37016	g1786329	Function unknown
EG12326	yadL	P37017	g1786330	Function unknown
EG12327	yadM	P37018	g87081690	Function unknown, FimA homolog
EG12328	yadN	P37050	g1786334	Function unknown, FimA homolog
EG12329	hrpB	P37024	g87081693	Predicted ATP-dependent helicase, function unknown
EG12330	ligT	P37025	g87081692	2'-5' RNA ligase
EG12331	clcA	P37019	g1786350	H(+)/Cl(-) exchange transporter; voltage-gated ClC-type chloride channel; involved in the extreme acid response
EG12332	erpA	P0ACC3	g1786351	Iron-sulfur cluster insertion protein; A-type Fe-S protein; essential for respiratory growth
EG12333	yadS	P0AFP0	g1786352	Inner membrane protein, UPF0126 family, function unknown
EG12334	btuF	P37028	g1786353	B12 uptake, ABC transporter periplasmic binding protein
EG12335	cdaR	P37047	g87081694	Transcriptional regulator for gar and gud operons
EG12336	yaeH	P62768	g1786359	Function unknown, UPF0325 family
EG12337	yaeI	P37049	g87081695	Phosphodiesterase, function unknown; has activity on model substrate bis-pNPP
EG12338	yagA	P37007	g1786462	Function unknown, CP4-6 putative prophage remnant
EG12339	yagB'	P37008	g87081711	Pseudogene, antitoxin-related, defective prophage CP4-6; N-terminal fragment
EG12340	afuC	P37009	g87081709	Uncharacterized ATPase with defective ABC transporter; probably silent; CP4-6 putative prophage remnant; missing its promoter and co-functional components; homologous to an iron-uptake system gene in Actinobacillus
EG12341	rseA	P0AFX7	g1788925	Anti-RpoE sigma factor, spans inner membrane
EG12342	yjjJ	P39410	g1790845	Function unknown
EG12343	yjjK	P0A9W3	g2367384	Predicted ABC transporter, ATP-binding protein; low abundance protein
EG12344	pspF	P37344	g87081872	Transcriptional sigma 54-dependent activator of psp
EG12345	ydfG	P39831	g1787820	L-allo-threonine dehydrogenase, NADP+-dependent; other substrates include L-serine, D-serine, D-threonine and 3-hydroxyisobutyrate
EG12346	hokA	P37305	g48994947	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG12347	yecC	P37774	g1788225	Predicted ABC transport ATP-binding protein, function unknown
EG12348	xisD'	Null	Null	Pseudogene, exisionase fragment in defective prophage DLP12
EG12349	exoD'	Null	g1786750	Pseudogene, C-terminal exonuclease fragment, DLP12 prophage
EG12350	peaD'	Null	g87081754	Pseudogene, phage lambda replication protein P family; C-terminal fragment, DLP12 prophage
EG12351	renD'	Null	g87081755	Pseudogene reconstruction, DLP12 prophage; lambda ren homolog, interrupted by IS3C; putative activator of lit transcription
