EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG12011	yehY	P33361	g1788451	Predicted ABC permease, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter; membrane protein
EG12012	osmF	P33362	g1788452	Predicted periplasmic binding protein, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter
EG12013	bglX	P33363	g1788453	Periplasmic beta-glucosidase
EG12015	pbpG	P0AFI5	g87082054	Penicillin-binding proteins PBP7 and PBP8; murein meso-DAP-alanine DD endopeptidase, periplasmic; uniquely binds beta-lactam penems, lysing non-growing cells; mutant has biofilm defect
EG12016	yohC	P0AD17	g87082055	Function unknown
EG12017	yohD	P33366	g87082056	Function unknown
EG12019	yohF	P33368	g1788459	RpoS regulon, acid sensitive, induced by ALS inhibition, similarity to insect-type ADH
EG12020	mdtQ	P33369	g87082057	Pseudogene reconstruction, probable lipoprotein drug pump; putative outer membrane factor (OMF) component of tripartite efflux system; mutants are sensitive to acriflavin and puromycin; tolC paralog
EG12022	dusC	P33371	g1788462	tRNA-dihydrouridine synthase C
EG12023	yohJ	P60632	g1788463	Function unknown; suggested to be a holin-like murein hydrolase transporter based on sequence characteristics; four TM segment predicted inner membrane protein
EG12024	yohK	P0AD19	g1788464	Function unknown; S. aureus ortholog missing a murein hydrolase, possibly due to protein transport defect; six TM segment predicted inner membrane protein homologus to known transporters
EG12025	sanA	P0AFY2	g1788466	Amplification abolishes vancomycin-sensitive permeability defects of mutants
EG12026	yeiG	P33018	g1788477	S-formylglutathione hydrolase, formaldehyde degradation; S-lactoylglutathione hydrolase, may be involved in methylglyoxal detoxification in the cytoplasm; constitutively expressed, not induced by formaldehyde
EG12027	yeiH	P62723	g1788482	Function unknown; probable integral membrane protein with eight predicted transmembrane helices
EG12028	yeiI	P33020	g1788484	Function unknown
EG12029	nupX	P33021	g1788485	Nucleoside transporter; in operon with rihB; silent (uninduced) gene
EG12030	rihB	P33022	g1788486	Ribonucleoside hydrolase, pyrimidine specific; silent gene; in operon with nupX nucleoside transporter; induced by AI-2 pheromone
EG12031	yeiL	P0A9E9	g1788487	Enhanced loss of viability under nitrogen starvation; crp/fnr paralog; contains Fe-S cluster; autoregulated; RpoS, Fnr, IHF and Lrp regulons; promoter overlaps that of divergent gene yeiK
EG12032	yeiM	P33024	g1788488	Probable nucleoside transporter, function unknown
EG12033	yeiN	P33025	g1788490	Function unknown
EG12034	setB	P33026	g1788495	Glucose and lactose efflux transporter
EG12035	yeiP	P0A6N8	g87082061	Function unknown, low abundance protein
EG12036	yeiQ	P33029	g1788497	Function unknown
EG12037	yejA	P33913	g87082063	Function unknown; regulated by rydC sRNA
EG12038	yejB	P0AFU0	g1788504	Function unknown; putative ABC transporter permease protein regulated by rydC sRNA
EG12040	yejE	P33915	g1788505	Function unknown; putative ABC transporter permease protein regulated by rydC sRNA
EG12041	yejF	P33916	g1788506	Function unknown; putative ABC transporter ATP-binding protein regulated by rydC sRNA
EG12042	yejG	P0AD21	g1788507	Function unknown
EG12043	yejL	P0AD24	g1788514	Function unknown
EG12044	rsuA	P0AA43	g1788510	16S RNA U516 pseudouridine synthase
EG12045	yejH	P33919	g1788511	Function unknown
EG12048	yejK	P33920	g1788513	Spermidine nucleoid-associated protein, function unknown
EG12049	yejM	P0AD27	g1788515	Function unknown
EG12051	yejO	P33924	g1788516	Pseudogene reconstruction, autotransporter homolog; interrupted by IS5K
EG12052	ccmH	P0ABM9	g1788522	Heme lyase, with CcmF, required for transfer of heme to apocytochrome from heme-CcmE
EG12053	ccmG	P0AA86	g1788523	Thiol-disulfide interchange protein, cytochrome C biogenesis; membrane-anchored, periplasmic; thioredoxin homolog
EG12054	ccmF	P33927	g1788524	Heme lyase, with CcmH, required for transfer of heme to apocytochrome from heme-CcmE
EG12055	ccmE	P69490	g1788525	Heme chaperone, membrane-anchored, periplasmic
EG12057	ccmC	P0ABM1	g1788527	ABC transporter, heme binding; delivers heme to and interacts with CcmE
EG12058	ccmB	P0ABL8	g1788528	ABC transporter, ATPase subunit; probably not heme exporter
EG12059	ccmA	P33931	g87082064	ABC transporter, integral membrane translocase subunit; probably not heme exporter
EG12060	napC	P0ABL5	g1788530	Quinol dehydrogenase, electron source for NapAB; membrane-bound; bound hemes
EG12061	napB	P0ABL3	g87082065	Nitrate reductase, periplasmic
EG12062	napH	P33934	g1788532	Quinol dehydrogenase, membrane protein; polyferredoxin; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulphur protein
EG12064	napG	P0AAL3	g1788533	Quinol dehydrogenase, periplasmic protein; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulphur protein
EG12067	napA	P33937	g1788534	Nitrate reductase, periplasmic
EG12068	napF	P0AAL0	g1788536	Required for NapAB nitrate-dependent growth with ubiquinone; not essential for electron transfer from ubiquinol or menaquinol to NapAB (Brondijk, 2002); may have energy-conservng role in ubiquinol oxidation; non-haem, iron-sulphur protein
EG12069	mqo	P33940	g1788539	Malate oxidoreductase; possibly previously described FAD-dependent phospholipid-activated malate oxidase
EG12070	yojI	P33941	g1788540	Microcin J25 efflux pump, TolC-dependent; non-essential gene
EG12073	apbE	P0AB85	g1788543	Lipoprotein involved in thiamine synthesis; primarily characterized in Salmonella
EG12074	mokC	P33236	g1786200	Overlapping regulatory peptide, enables hokC expression
EG12075	nikA	P33590	g1789887	Nickel-binding periplasmic protein; Tar-dependent Ni-repellant chemosensor; Fnr-dependent
EG12076	nikB	P33591	g1789888	Nickel transport system permease
EG12077	nikC	P0AFA9	g1789889	Nickel transport system permease
EG12078	nikD	P33593	g1789890	Nickel transport ATP-binding protein
EG12079	nikE	P33594	g1789891	Nickel transport ATP-binding protein
EG12080	recX	P33596	g1789050	Blocks RecA filament extension; inhibitor of RecA ATPase, recombinase and coprotease activities; null mutant and over-expressors have reduced resistance to DNA damage; binding to RecA is antagonized by RecF
EG12081	ppdA	P33554	g1789190	Function unknown; regulated by FlhDC and FliA; mutants are not defective in motlity or chemotaxis; first 6 residues may be cleaved by prepilin peptidase to leave an N-terminal methyltyrosine
EG12082	nuoA	P0AFC3	g1788625	NADH:ubiquinone oxidoreductase subunit A, complex I; NADH dehydrogenase I
EG12083	nuoB	P0AFC7	g1788624	NADH:ubiquinone oxidoreductase subunit B, complex I; NADH dehydrogenase I
EG12084	nuoC	P33599	g1788622	NADH:ubiquinone oxidoreductase subunit C, complex I; NADH dehydrogenase I
EG12086	nuoE	P0AFD1	g1788621	NADH:ubiquinone oxidoreductase subunit E, complex I; NADH dehydrogenase I
EG12087	nuoG	P33602	g1788619	NADH:ubiquinone oxidoreductase subunit G, complex I; NADH dehydrogenase I
EG12088	nuoH	P0AFD4	g1788618	NADH:ubiquinone oxidoreductase subunit H, complex I; NADH dehydrogenase I
EG12089	nuoI	P0AFD6	g1788617	NADH:ubiquinone oxidoreductase subunit I, complex I; NADH dehydrogenase I
EG12090	nuoJ	P0AFE0	g1788616	NADH:ubiquinone oxidoreductase subunit J, complex I; NADH dehydrogenase I
EG12091	nuoK	P0AFE4	g1788615	NADH:ubiquinone oxidoreductase subunit K, complex I; NADH dehydrogenase I
EG12092	nuoL	P33607	g1788614	NADH:ubiquinone oxidoreductase subunit L, complex I; NADH dehydrogenase I; NuoL facilitates the uptake of Na(+), is homologus to antiporters, and is implicated in proton pumping
EG12093	nuoN	P0AFF0	g1788612	NADH:ubiquinone oxidoreductase subunit N, complex I; NADH dehydrogenase I
EG12094	sgrR	P33595	g1786256	Transcriptional activator of sgrS sRNA; sgrS destabilizes ptsG mRNA
EG12095	secG	P0AG99	g1789565	SecG inner membrane secretion protein; complexes with and assists the SecYE core translocon to interact with SecA to export proteins
EG12096	chpB	P33647	g1790672	ChpB toxin and mRNA interferase, antitoxin is ChpS; reversible inhibitor of translation, by mRNA cleavage
EG12097	yfiH	P33644	g1788945	Function unknown;
EG12098	rluD	P33643	g1788946	23S rRNA pseudouridine synthase; specific to U1911, U1915, and U1917; mutation supresses ftsH(Ts) mutants; null mutants grow very poorly
EG12099	efp	P0A6N4	g1790590	Elongation factor EF-P
EG12100	tktB	P33570	g1788808	Transketolase; binds Zn(II)
EG12101	feoA	P0AEL3	g1789812	Ferrous iron uptake, required for full FeoB activity
EG12102	feoB	P33650	g1789813	Ferrous iron uptake GTP-binding membrane protein; N-terminus is a cytoplasmic G protein
EG12103	gapC	P33898	g87081902	Pseudogene reconstruction, GAP dehydrogenase; glyceraldehyde 3-phosphate dehydrogenase C
EG12104	yeiR	P33030	g1788499	Function unknown
EG12105	yeiE	P0ACR4	g1788481	Probable positive regulator of lysP transcription
EG12106	hofB	P36645	g1786296	Homologous to PilB of Pseudomonas aeruginosa; function not established, insertion mutation gives no phenotype
EG12107	ppdD	P36647	g1786297	Type IV pilin; function unknown; first 6 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
EG12108	norR	P37013	g87082152	Response regulator for norVW transcription, NO-responsive; sensor partner unidentified
EG12110	ydcF	P34209	g1787683	Function unknown, low abundance protein
EG12111	nlpD	P0ADA3	g1789099	Lipoprotein, function unknown; may be involved in cell wall formation; may have murein hydrolytic activity
EG12112	alpA	P33997	g1788977	Alp protease, CP4-57 putative prophage remnant; regulates intA (slp [suppressor of Lon])
EG12113	hofQ	P34749	g1789793	Required for utilization of DNA as a sole source of carbon and energy; putative fimbrial transport protein; expression not detected
EG12114	prfC	P0A7I4	g1790835	Release factor 3; stimulates activitiy of RF-1 and RF-2; prefers UGA
EG12115	yjjG	P0A8Y1	g1790833	dUMP 5'-nucleotidase required for conversion of exogenous thymine to thymidine; also called nucleoside 5'-monophosphate phosphohydrolase; efficient in vitro substrates include: dUMP, UMP, and dTMP; phosphoramidase; HAD5
EG12116	acrR	P0ACS9	g1786669	Transcriptional repressor for acrAB
EG12119	ychJ	P37052	g1787484	Function unknown
EG12120	rssA	P0AFR0	g1787485	Two-component response regulator, affecting RpoS-dependent proteins
EG12121	rssB	P0AEV1	g1787487	Two-component response regulator, affecting RpoS regulon; anti-RpoS activity, phosphorylated form binds to RpoS and initiates proteolysis by ClpXP
EG12122	yggI	P39902	g1789313	Function unknown, metalloprotease homolog
EG12123	lrhA	P36771	g1788626	Transcriptional repressor of flagellar and motility master regulator FlhDC; autoregulator; mutation confers lower RpoS levels, modulates rssB activity
EG12124	hisJ	P0AEU0	g1788648	Histidine-binding protein of high-affinity histidine transport system
EG12125	hisQ	P52094	g1788646	Histidine transport permease
EG12126	kdpF	P36937	g87081773	Inner membrane protein for high-affinity potassium transport
EG12127	treB	P36672	g2367362	IITre, translocation system, Tre-specific PTS enzyme II
EG12128	lgt	P60955	g1789192	Phosphatidylglycerol:prolipoprotein diacylglycerol transferase
EG12129	uraA	P0AGM7	g1788843	Uracil concentration dependence of pyr mutants; Ura ABC transporter
EG12130	hscA	P0A6Z1	g1788875	Hsc66, DnaK-like chaperone, specific for IscU; involved in FtsZ-ring formation; HscB is the J-like co-chaperone for HscA
EG12131	hscB	P0A6L9	g1788876	Hsc20, DnaJ-like co-chaperone for HscA; specific for IscU
EG12132	iscA	P0AAC8	g1788877	Recruit and deliver Fe for Fe-S cluster assembly in IscU; possibly an alternative scaffold for Fe-S cluster assembly
EG12133	ucpA	P37440	g87082100	Short-chain dehydrogenase/reductase homolog
EG12134	rhtA	P0AA67	g1787033	Transporter involved in threonine and homoserine efflux; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine
EG12135	ompX	P0A917	g1787034	Outer membrane protein X; role in inducing RNAP-sigma E production
EG12136	mdtD	P36554	g1788392	Putative transporter, function unknown; no MDR phenotype when mutated or cloned; fourth gene in mdtABCDbaeRS operon
EG12137	nlpE	P40710	g1786390	Lipoprotein activating Cpx in response to adhesion; copper resistance; outer membrane protein
EG12138	yaeF	P37056	g87081699	Putative lipoprotein, function unknown; Cys conserved
EG12139	yfhG	P0AD44	g1788906	Function unknown, probable periplasmic or surface protein
EG12140	ydhB	P0ACR2	g1787949	Function unknown, LysR family of transcriptional regulators
EG12141	ydhC	P37597	g48994889	Putative transporter, function unknown; no overexpression resistances found
EG12142	sdaC	P0AAD6	g1789160	Serine:H+ symport permease, threonine-insensitive
EG12143	napD	P0A9I5	g1788535	Essential for NapAB activity
EG12144	pgm	P36938	g1786904	Phosphoglucomutase
EG12146	yhbJ	P0A894	g1789598	Function unknown
EG12147	npr	P0A9N0	g1789599	NPr, N-regulated HPr-like protein
EG12148	galP	P0AEP1	g1789312	D-Galactose/H+ symporter
EG12149	asr	P36560	g87081945	Acid shock-inducible periplasmic protein required for acid tolerance; expression controlled by phoBR
EG12150	cobS	P36561	g1788301	Partial cobalamin biosynthesis pathway present in E. coli
EG12151	cobT	P36562	g1788300	Partial cobalamin biosynthesis pathway present in E. coli
EG12152	idnK	P39208	g1790719	D-gluconate kinase
EG12153	narU	P37758	g1787743	Nitrite extrusion protein
EG12154	sieB	P38392	g87081885	Superinfection exclusion protein, Rac prophage
EG12155	kilR	P38393	g87081884	Killing function of the Rac prophage during zygotic induction; causes cell division arrest and altered cell morphology , suppressed by ftsZ overexpression
EG12156	ydaE	P38394	g87081883	Metallothionein, function unknown, Rac prophage
EG12157	ydaF	P0ACW0	g87081886	Function unknown, Rac prophage
EG12158	rdgC	P36767	g1786592	Competitive inhibitor of RecA function; nucleoid-associated ssDNA and dsDNA binding protein; synthetic lethal with priA
EG12159	yaiE	P0C037	g1786590	Function unknown
EG12161	eaeH	P36943	g1786488	Intimin, invasin, adhesin homolog; gene remnant; interrupted/deleted by IS3A
EG12162	gatR	P36930	g87082039	Pseudogene reconstruction, repressor for gat operon; interrupted by IS3E
EG12163	rsmB	P36929	g2367212	16S rRNA m(5)C967 methyltransferase, SAM-dependent
EG12164	ytjC	P0A7A2	g1790856	Function unknown, related to fructose-2,6-bisphosphatases
EG12165	mukF	P60293	g1787152	Chromosome condensin MukBEF, kleisin-like subunit
EG12166	ycbC	P0AB01	g1787150	Function unknown
EG12167	smtA	P36566	g1787151	Putative methyltransferase, SAM-dependent, non-essential protein, Hns-regulated
EG12168	brnQ	P0AD99	g1786601	Mutants are valine and o-methylthreonine resistant, glycylvaline sensitive; transport system I for Ile, Leu, and Val
EG12169	ccmD	P0ABM5	g1788526	Cytochrome c maturation protein; stabilizes CcmE in membrane
EG12171	yjjI	P37342	g1790840	Putative glycine radical enzyme, function unknown
EG12172	hinT	P0ACE7	g1787346	Purine nucleoside phosphoramidase; aminoacyl-adenylate hydrolase; physological role unknown
EG12173	gspM	P36678	g87082245	Part of H-NS-silenced gsp divergon, type II protein secretion; cloned gsp divergon secretes ChiA
EG12174	ydaG	P76061	g87081887	Pseudogene, function unknown, Rac prophage
EG12176	yjdC	P0ACU7	g87082374	Putative transcriptional repressor, function unknown
EG12177	cutA	P69488	g1790579	Copper sensitivity, binds Cu(II); possible role in cytochrome c maturation; trimeric
EG12178	dipZ	P36655	g1790578	Transmembrane protein-disulfide reductase, transfers electrons from cytoplasmic thioredoxin to the periplasm
EG12179	cspE	P0A972	g1786841	Binds and melts RNA, involved in cold acclimation; binds ssDNA; high copy protects the chromosome from decondensation by camphor and increases DNA supercoiling; dimeric
EG12180	pagP	P37001	g1786840	Lipid A biosynthesis; transfers a palmitate residue from the sn-1 position of a phospholipid to the N-linked hydroxymyristate on the proximal unit of lipid A (or its precursors); confers resistance to cationic antimicrobial peptides
EG12181	grxD	P0AC69	g1787943	Monothiol glutaredoxin Grx4, with CxxS motif; substrate for thioredoxin reductase; essential gene
EG12182	yajG	P0ADA5	g87081739	Probable lipoprotein, function unknown; Cys conserved
EG12183	ampG	P0AE16	g1786636	Muropeptide permease, imports GlcNAc-anhMurNAc-peptides; required for cloned Citrobacter freundii AmpR-regulated beta-lactamase induction and murein recycling
EG12184	nudF	Q93K97	g1789412	ADP-sugar pyrophosphatase; sole ADP-glucose hydrolase, activity limits glycogen production; one of several ADP-ribose hydrolases; creBC regulon; non-essential
EG12185	yqiB	P0ADU7	g1789411	Function unknown
EG12186	yqiA	P0A8Z7	g1789409	Acyl CoA esterase in vitro, physiological function unknown
EG12187	cpdA	P0AEW4	g1789410	3',5' cAMP phosphodiesterase; mutants have elevated cAMP levels
EG12188	ptsP	P37177	g1789193	PTS PEP-protein phosphotransferase Enzyme I (Ntr)
EG12189	hemF	P36553	g1788777	Coproporphyrinogen III oxidase, oxygen-dependent; stimulated by manganese; dimeric
EG12190	eutR	P36547	g1788778	Probable eut operon transcriptional activator, concerted induction requires both B12 and ethanolamine; autoregulatory
EG12191	glnK	P0AC55	g1786655	Potent activator of NRII(GlnL/NtrB) phosphatase; trimeric; regulated through NRI/NRII two-component regulatory system; binds to membrane when inhibiting AmtB
EG12192	nadK	P0A7B3	g1788968	ATP-NAD kinase
EG12193	cbpA	P36659	g1787235	DnaK co-chaperone; also binds curved DNA
EG12194	cbpM	P63264	g1787234	Modulator of CbpA co-chaperone activity
EG12195	torD	P36662	g1787232	Cytoplasmic chaperone for TorA activation; also protects TorA TAT signal peptide from degradation
EG12196	yccE	P36661	g1787236	Function unknown
EG12197	seqA	P0AFY8	g1786903	Sequesters newly replicated hemimethylated oriC origins to prevent re-initiation; binds hemimethylated GATC sequences; SeqA foci required for chromosome segregation; binds and stimulates Topo IV
EG12198	chbG	P37794	g1788028	Member of chb operon, function unknown
EG12200	yegD	P36928	g87082035	DnaK homolog, function unknown
EG12201	ygaC	P0AD53	g1789026	Function unknown; Fur regulon
EG12202	treR	P36673	g1790689	Repressor of trehalose operon
EG12203	cspB	P36995	g1787839	Cold shock protein, Qin prophage; cold shock inducible
EG12204	cspC	P0A9Y6	g1788126	Multicopy suppressor of mukB; cold shock protein homolog constitutively expressed at 37C; affects rpoS and uspA expression
EG12205	cspF	P0A976	g1787840	Cold shock protein homolog, Qin prophage; not cold-inducible
EG12207	rrmA	P36999	g1788125	23S rRNA m1G745 methyltransferase, SAM-dependent; mutant has slow growth rate, slow chain elongation rate, and viomycin resistance
EG12209	crcB	P37002	g1786842	High-copy crc-csp restores normal chromosome condensation in presence of camphor or mukB mutations
EG12210	rfaF	P37692	g1790050	ADP-heptose:LPS heptosyltransferase II
EG12211	yhhK	P37613	g1789869	Function unknown
EG12212	yhhL	P37614	g1789876	Function unknown
EG12213	yhhM	P37615	g1789877	Function unknown
EG12214	yhhN	P0ADI9	g1789878	Function unknown
EG12215	zntA	P37617	g1789879	Zn(II), Cd(II), and Pb(II) translocating P-type ATPase; mutant is hypersensitive to Zn and Cd salts
EG12216	sirA	P0A890	g1789881	2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; motility defect; affects RpoS stability; may bind RNA; mutants form filaments dues to disruption of ftsZ ring; suppressed by multicopy ftsZ or dksA; required for cell growth
EG12217	yhhQ	P37619	g1789882	Function unknown, predicted membrane protein, 6 TM helices; has predicted PurR box
EG12218	dcrB	P0AEE1	g87082269	Probable lipoprotein required for phage C1 adsorption; periplasmic; Cys conserved
EG12219	yhhS	P37621	g87082270	Putative transporter, function unknown; membrane protein
EG12220	yhhT	P0AGM0	g87082271	Function unknown, predicted membrane permease
EG12221	acpT	P37623	g1789886	CoA-phosphopantetheinyltransferase; native apo-protein substrate unknown, possibly a back-up gene for acpS; multicopy suppressor of acpS1, can modify ACP when overexpressed
EG12223	rbbA	P37624	g48994943	Ribosome-associated ATPase, required for protein synthesis; hygromycin B inhibits RbbA ATPase and releases RbbA from ribosomes; binds protein S1
EG12224	yhiI	P37626	g1789900	Putative membrane fusion protein (MFP) component of efflux pump, function unknown; signal anchor
EG12225	yhiJ	P37627	g1789902	Function unknown
EG12227	yhiL	P37629	g87082275	Pseudogene reconstruction, FliA regulated
EG12228	yhiM	P37630	g87082276	Function unknown
EG12229	yhiN	P37631	g2367234	Function unknown
EG12230	pitA	P0AFJ7	g1789907	Low-affinity Pi transport protein
EG12231	uspB	P0A8S5	g1789908	Sigma S-regulated gene divergent from uspA; ethanol resistance in stationary phase
EG12232	yhiP	P36837	g1789911	Putative transporter, function unknown; membrane protein
EG12233	yhiQ	P68567	g1789912	Function unknown; in Salmonella, yhiQ is the second gene in prlC operon and in the heat shock regulon; putative SAM-dependent methyltransferase
EG12234	yhiR	P37634	g1789914	Required for utilization of DNA as a sole source of carbon and energy
EG12235	arsR	P37309	g1789916	Arsenate resistance operon repressor; resistance to arsenate, arsenite, and antimonite
EG12236	arsB	P0AB93	g87082277	Arsenite pump, inner membrane; resistance to arsenate, arsenite, and antimonite
EG12237	arsC	P0AB96	g1789918	Arsenate reductase; resistance to arsenate, arsenite, and antimonite
EG12238	yhiS	P37635	g1789920	Function unknown; interrupted by IS5T
EG12240	mdtE	P37636	g1789929	MdtEF-TolC multidrug resistance efflux transporter; membrane fusion protein (MFP) component, lipoprotein; overexpression resistance to erythromycin, deoxycholate, octane and rhodamine; no mutant phenotype
EG12241	mdtF	P37637	g1789930	MdtEF-TolC multidrug resistance efflux RND-type transporter; overexpression resistance to erythromycin, deoxycholate, octane and rhodamine; no mutant phenoype
EG12242	gadW	P63201	g1789932	Positive regulator of gadA and gadBC, in absence of gadX; repressor of gadX
EG12243	gadX	P37639	g1789933	Positive transcriptional regulator of gadA and gadBC; repressed by HNS and GadW; stimulated by RpoS; AraC family
EG12244	yhjA	P37197	g1789935	Function unknown
EG12245	treF	P62601	g1789936	Cytoplasmic trehalase
EG12246	yhjB	P37640	g1789937	Function unknown
EG12247	yhjC	P37641	g1789938	Function unknown
EG12248	yhjD	P37642	g1789939	Function unknown
EG12249	yhjE	P37643	g1789941	Putative transporter, function unknown; membrane protein
EG12251	yhjG	P37645	g2367236	Function unknown
EG12252	yhjH	P37646	g87082280	Suppresses motility defect of hns mutants in multicopy; probable cyclic-di-GMP phosphodiesterase
EG12253	kdgK	P37647	g87082281	Ketodeoxygluconokinase
EG12254	yhjJ	P37648	g1789946	Putative periplasmic protease homolog, function unknown
EG12256	yhjK	P37649	g87082282	Function unknown; expressed protein
EG12257	bcsC	P37650	g87082283	Oxidase involved in cellulose synthesis
EG12258	bcsZ	P37651	g1789951	Endo-1,4-D-glucanase; breaks down carboxymethylcellulose; periplasmic cellulase
EG12259	bcsB	P37652	g1789952	Cellulose synthase, regulatory subunit; may bind cyclic-di-GMP; probably periplasmic
EG12260	bcsA	P37653	g87082284	Celullose synthase, catalytic subunit; inner membrane protein
EG12261	yhjQ	P37655	g1789955	Required for normal cell division; filamentous phenotype
EG12262	yhjR	P0ADJ3	g1789956	Function unknown
EG12263	bcsE	P37657	g1789958	Required for cellulose production in Salmonella
EG12264	bcsF	P0ADJ5	g87082285	Small membrane protein in an operon required for cellulose production in Salmonella
EG12265	bcsG	P37659	g1789960	Putative endoglucanase in operon required for cellulose production in Salmonella; endohydrolysis of 1,4-beta-D-glucosidic linkages in cellulose
EG12266	yhjV	P37660	g1789961	Predicted amino acid:H+ symport permease, function unknown
EG12267	eptB	P37661	g87082286	KDO phosphoethanolamine transferase, Ca(2+)-inducible; required for Ca(2+) tolerance of heptose-deficient cells
EG12268	yhjX	P37662	g1789969	Putative transporter, function unknown; membrane protein
EG12269	yhjY	P37663	g87082287	Probable outer membrane protein, function unknown; Salmonella ortholog regulated by RpoS
EG12270	yiaC	P37664	g1789972	Putative acetyltransferase
EG12271	yiaD	P37665	g48994946	Novel verified lipoprotein, function unknown; OmpA homolog
EG12272	ghrB	P37666	g87082289	Glyoxylate/hydroxypyruvate reductase; 2-ketogluconate reductase; activity higher on hydroxypyruvate than glyoxylate
EG12273	yiaF	P0ADK0	g87082290	Probable lipoprotein, function unknown; Cys conserved
EG12274	wecH	P37669	g1789984	O-acetyltransferase for enterobacterial common antigen (ECA)
EG12275	xylG	P37388	g1789991	Xylose transport gene
EG12276	xylH	P0AGI4	g1789992	Xylose permease protein
EG12278	yiaJ	P37671	g1789999	Transcriptional repressor of yiaK-S operon involved with metabolism of an unknown carbohydrate; IclR homolog
EG12279	yiaK	P37672	g1790000	L-dehydroascorbate (2,3-diketo-L-gulonate) reductase, NADH-dependent
EG12280	yiaL	P37673	g1790001	Function unknown; in operon possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12281	yiaM	P37674	g1790002	L-dehydroascorbate transporter, TRAP permease small subunit; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
EG12282	yiaN	P37675	g48994950	L-dehydroascorbate transporter, TRAP permease large subunit; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
EG12283	yiaO	P37676	g1790004	L-dehydroascorbate transporter, periplasmic binding protein; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
EG12284	lyx	P37677	g1790005	L-xylulose kinase; novel pathway for utilization of lyxose via xylulose through rhamnose and pentose pathways; 3-keto-L-gulonate kinase; possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12285	sgbH	P37678	g1790006	3-keto-L-gulonate-6-phosphate decarboxylase; possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12286	sgbU	P37679	g87082294	Predicted L-xylulose 5-phosphate 3-epimerase; possibly a defective enzyme; possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12287	sgbE	P37680	g1790008	L-ribulose 5-phosphate 4-epimerase; possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
EG12288	yiaT	P37681	g1790010	Function unknown
EG12289	yiaU	P37682	g1790011	Function unknown
EG12290	yiaV	P37683	g1790012	Function unknown; putative membrane fusion protein (MFP) component of efflux pump, signal anchor
EG12291	yiaW	P0ADK4	g1790013	Function unknown
EG12292	aldB	P37685	g87082295	Aldehyde dehydrogenase, NADP-dependent; tetrameric
EG12293	yiaY	P37686	g48994951	Function unknown
EG12294	grxC	P0AC62	g1790039	Glutaredoxin 3
EG12295	yibN	P0AG27	g1790040	Function unknown
EG12296	gpmM	P37689	g1790041	Phosphoglycerate mutase, Mn-dependent; monomeric
EG12297	envC	P37690	g87082297	Periplasmic murein hydrolase septal ring factor; sensitivity to crystal violet; filamentous
EG12298	yibQ	P37691	g87082298	Function unknown
EG12301	rutR	P0ACU2	g1787249	Repressor for rut operon for pyrimidine nitrogen catabolism
EG12302	tmk	P0A720	g1787340	Thymidylate kinase
EG12303	ycfH	P0AFQ7	g1787342	Putative DNAse, tatD paralog, no Tat phenotype
EG12304	sapD	P0AAH4	g1787548	Required for ATP-dependence of Trk K+ uptake systems; putative ABC transport system ATP-binding protein; unknown substrate(s);
EG12305	sapF	P0AAH8	g1787547	Putative ABC transporter ATP-binding protein; function unknown
EG12306	yccF	P0AB12	g1787195	Function unknown
EG12307	mgsA	P0A731	g87081809	Methylglyoxal synthase
EG12308	yfhH	P37767	g87082130	Function unknown
EG12309	yjtD	P37005	g1790865	Predicted methyltransferase, function unknown
EG12310	pepB	P37095	g87082123	Peptidase B; broad specificity aminopeptidase
EG12311	iscX	P0C0L9	g1788873	Function unknown; downstream of fdx, isc genes; binds IscS; possibly involved in Fe-S cluster assembly
EG12312	coaE	P0A6I9	g1786292	Dephospho-CoA kinase; final step in CoA synthesis
EG12313	yacF	P36680	g1786291	Function unknown
EG12314	yacG	P0A8H8	g1786290	Zn(2+)-binding protein, function unknown
EG12315	yacH	P36682	g1786308	Function unknown
EG12316	acnB	P36683	g2367097	Aconitase B; 2-methylaconitate hydratase; apo-enzyme binds mRNA for negative translational autoregulation; iron-sulfur cluster; monomeric
EG12318	cueO	P36649	g1786314	Multicopper oxidase (laccase), confers copper tolerance; oxidizes model substrate dimethoxyphenol; in vitro ferroxidase and phenoloxidase activities; regulated by copper-responsive CueR activator
EG12319	can	P61517	g1786318	Carbonic anhydrase, beta class
EG12320	yadG	P36879	g1786319	Function unknown
