# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
his7	EC1.1.1.23	Probable phosphoribosyl-AMP cyclohydrolase					SPBC29A3.02c	phosphoribosyl-AMP cyclohydrolase		O59667							
pop1		Component of the Skp1-Cullin-1-F-box (SCF) complex involved in regulated degradation of Rum1p and Cdc18p cell-cycle regulators, contains WD-repeats					SPBC1718.01	F-box protein,  ste16,  SPBC2G2.18		P87060							
C22F3.11c		Protein of unknown function					SPAC22F3.11c	sequence orphan		Q09776							
P8B7.15c		Protein containing a zinc knuckle domain, which can bind RNA or DNA in eukaryotes, has moderate similarity to S. cerevisiae Mpe1p, which is a component of the Polyadenylation Factor I complex required for mRNA cleavage and polyadenylation					SPBP8B7.15c	zinc finger protein		O94264							
C5D6.10c		Protein of unknown function					SPAC5D6.10c	dubious		O14202							
C1861.08c		U2 snRNP-specific A' protein					SPBC1861.08c	U2 snRNP complex		Q9USX8							
cnd1		Subunit of the condensin complex involved in chromosome condensation					SPBC776.13	condensin subunit Cnd1		O94679							
C2F12.05c		Member of the oxysterol-binding protein (OSBP) family, which are involved in sterol biosynthesis, contains a pleckstrin homology domain and three ankyrin repeats, has low similarity to S. cerevisiae Osh2p, which is involved in ergosterol metabolism					SPBC2F12.05c	ankyrin repeat protein		O14340							
cnd2		Subunit of the condensin complex involved in chromosome condensation					SPCC306.03c	condensin subunit Cnd2		Q9Y7R3							
C1F5.11c		Member of the FRAP, ATM and TRRAP (FAT) domain, the FRAP, ATM, TRRAP C-terminal (FATC) domain and the phosphatidylinositol 3- and 4-kinase families, has low similarity to S. cerevisiae Tra1p, which is part of the Ada-Spt, NuA4, SAGA and SLIK complexes					SPAC1F5.11c	phosphatidylinositol kinase (predicted)		Q10064							
C32A11.02c		Protein of unknown function					SPAC32A11.02c	sequence orphan		Q10327							
cnd3		Subunit of the condensin complex involved in chromosome condensation					SPCC188.03	condensin subunit		Q10429							
C30D10.12c		Protein of unknown function, has moderate similarity to uncharacterized C. glabrata Cagl0b02255gp					SPBC30D10.12c	mitochondrial ribosomal protein subunit S27		O14358							
C19C2.04c		Member of the ubiquitin carboxyl-terminal hydrolase family, which are cysteine proteases involved in deubiquitination, has low similarity to ubiquitin-specific protease (S. cerevisiae Ubp8p), which is a ubiquitin C-terminal hydrolase					SPBC19C2.04c	ubp11,  ubiquitin C-terminal hydrolase activity		Q9UUD6							
C24C6.09c	EC4.1.2.9	Member of the D-xylulose 5-phosphate and D-fructose 6-phosphate phosphoketolase family, has high similarity to uncharacterized C. neoformans Cne03100_D					SPBC24C6.09c	phosphoketolase (predicted)		O74770							
erv14		Protein with high similarity to S. cerevisiae Erv14p, which is a protein of ER-derived vesicles that is required for efficient degradation of soluble ER quality control substrates, member of the cornichon protein family					SPAC30C2.05	cornichon family		Q9P6K6							
C15E1.05c	EC2.7.7.14	Protein containing a cytidylyltransferase domain, has low similarity to phosphate cytidylyltransferase 2 ethanolamine (rat Pcyt2), which catalyzes the formation of CDP-ethanolamine					SPAC15E1.05c	ethanolamine-phosphate cytidylyltransferase (predicted)		Q9UTI6							
srw1: ste9		Protein required for mating and sporulation					SPAC144.13c	CDK inhibitor,  ste9		O13286							
C6G9.10c		Helicase of the DNA2/NAM7 protein family					SPAC6G9.10c	DNA2/NAM7 family		Q92355							
C126.06		Protein containing a cofilin or tropomyosin-type actin-binding protein domain, has low similarity to protein tyrosine kinase 9 like (human PTK9L), which binds ATP and protein kinase C zeta					SPCC126.06	twinfilin		O94399							
C126.09		Member of the ZIP zinc transporter family, which may be metal transporters, has a region of low similarity to a region of S. cerevisiae Zrt3p, which is a vacuolar membrane protein that is involved in the regulation of zinc storage					SPCC126.09	vacuolar membrane zinc transporter (predicted)		O94402							
C32A11.03c		Pombe homeobox 1, a putative transcription factor that positively regulates the abundance of Lys4p, which functions in lysine synthesis, contains a homeobox domain					SPAC32A11.03c	homeobox domain		Q10328							
apc1: apc10		Subunit of the anaphase promoting complex					SPBC1A4.01	anaphase-promoting complex (APC),  SPBC1E8.06		O42971							
C830.04c		Protein of unknown function					SPCC830.04c	sequence orphan		Q9UU95							
C354.07c		Member of the oxysterol-binding protein (OSBP) family, which are involved in sterol biosynthesis and possibly regulation, has moderate similarity to S. cerevisiae Kes1p, which is implicated in ergosterol biosynthesis					SPBC354.07c	oxysterol binding protein (predicted)		O43021							
erv25		Protein with moderate similarity to S. cerevisiae Erv25p, which is a COPII-coated vesicle protein involved in ER to Golgi transport and that may be required for proper meiosis					SPAC23H4.03c	COPII-coated vesicle component (predicted)		O13946							
C1F12.10c		Protein containing a cytochrome b5-like heme or steroid binding domain, has moderate similarity to a region of NADPH cytochrome B5 oxidoreductase (human CYB5R4), which is a soluble NAD(P)H reductase that may play a role in the response to oxidative stress					SPAC1F12.10c	heme binding protein (predicted)		Q10352							
med7		Component of the mediator complex, involved in regulating RNA polymerase II activity					SPBC14F5.08	RNA polymerase II holoenzyme component		O60104							
P8B7.17c		Member of the TENA or THI-4 protein family, has low similarity to S. cerevisiae Thi21p, which is a phosphomethylpyrimidine kinase required for thiamine biosynthesis					SPBP8B7.17c	TENA/THI domain		O94265							
C1778.02		Telomere-binding protein required for telomere clustering at the spindle pole body in meiotic prophase nuclei, efficient telomere position effects, and sporulation					SPBC1778.02	telomere binding protein Rap1		Q96TL7							
C126.12		Member of the NIF3 (NGG1p interacting factor 3) family, has moderate similarity to uncharacterized S. cerevisiae Nif3p					SPCC126.12			O94404							
C582.04c		Protein of unknown function					SPBC582.04c	sequence orphan		Q10338							
C29B12.10c		Protein with high similarity to S. cerevisiae Opt1p, which is an oligopeptide transporter responsible for high affinity glutathione transport, member of the OPT oligopeptide transporter protein family					SPAC29B12.10c	OPT family oligopeptide transporter		O14031							
C17C9.06		Member of the bacterial surface antigen family, has low similarity to S. cerevisiae Sam50p, which is a component of the sorting and assembly machinery (SAM) complex of the mitochondrial outer membrane and is required for TOM and porin complex assembly					SPAC17C9.06	SAM complex subunit Sam50 (predicted)		Q10478							
C1778.07		Member of the N2227-like protein family, which may be involved in stress response, has moderate similarity to uncharacterized human C9orf41					SPBC1778.07	methyltransferase (predicted)		Q9Y7J3							
C17C9.07		Member of the ALG6, ALG8 glycosyltransferase family, has moderate similarity to S. cerevisiae Alg8p, which is a glucosyltransferase of the endoplasmic reticulum that adds glucose to dolichol-linked oligosaccharide precursors prior to protein glycosylation					SPAC17C9.07	glycosyl transferase family ALG8 (predicted)		Q10479							
C17C9.08	EC3.1.30.-	Nuclease with both DNase and RNase activity, major nuclease of mitochondria					SPAC17C9.08	endodeoxyribonuclease,  nuc1		Q10480							
C1778.09		Member of the TBC domain containing family, has a region of low similarity to a region of human USP6NL, which is a RAB5 GTPase activator that inhibits the internalization of EGFR, interacts with EPS8, and negatively regulates cell proliferation					SPBC1778.09	GTPase activating protein (predicted)		Q9Y7J5							
rpl27-1: rpl27a		60S ribosomal protein L27A					SPBC685.07c	60S ribosomal protein L27,  rpl27-1		O14388							
C2G11.01		Protein containing a protein kinase domain, has low similarity to PRP4 pre-mRNA processing factor 4 homolog B (mouse Prpf4b), which is a serine-threonine kinase that phosphorylates the SF2 splicing factor and may play a role in pre-mRNA splicing					SPAC16C9.07	serine/threonine protein kinase (predicted),  SPAC2G11.01		Q09815							
C2G11.02		Protein of unknown function					SPAC2G11.02	ribosome biogenesis protein		Q09804							
C2G11.04		Member of the G-patch domain family					SPAC2G11.04	G-patch domain		Q09806							
C830.05c		Protein of unknown function, has a region of moderate similarity to a region of S. cerevisiae Epl1p, which is involved in transcription regulation and establishment and/or maintenance of chromatin architecture					SPCC830.05c	histone acetyltransferase complex (predicted)		Q9UU94							
C19C2.06c		Protein of unknown function					SPBC19C2.06c	sequence orphan		Q9UUD4							
C106.17c	EC2.3.1.31	Protein containing an alpha or beta hydrolase fold domain, has low similarity to S. pombe Met6p, which is a putative homoserine o-acetyltransferase acting at the first step in methionine-specific biosynthesis					SPBC106.17c	homoserine O-acetyltransferase (predicted)		Q10341							
rad4: cut5		Essential checkpoint control protein required for onset of DNA replication					SPAC23C4.18c	BRCT domain,  cut5,  dre3		P32372							
C354.08c		Member of the DUF221 domain of unknown function family, has weak similarity to uncharacterized C. albicans Orf19.5932p					SPBC354.08c			O43022							
C2G11.09		Member of the DUF221 domain of unknown function family, has weak similarity to S. cerevisiae Spo75p, which serves in spore formation					SPAC2G11.09			Q09809							
C1921.02		Protein that functions in DNA repair and in the maintenance of chromosome structure and stability					SPBC1921.02	DNA repair protein Rad60p		Q9USX3							
nak1		Essential protein involved in the regulation of cell growth, polarity, and division, member of the group II germinal center (GCK) family of protein kinases					SPBC17F3.02	PAK-related kinase Nak1		O75011							
C15E1.07c		Protein required for premeiotic S phase progression					SPAC15E1.07c	sequence orphan		Q9UTI4							
mlo2		Protein that plays a role in chromosome segregation					SPBC4.05	zinc finger protein		Q09329							
P8B7.18c		Member of the TENA or THI-4 protein family, has low similarity to S. cerevisiae Thi20p, which is a phosphomethylpyrimidine kinase required for thiamine biosynthesis					SPBP8B7.18c	TENA/THI domain		O94266							
mlo3		Missegregation and lethal when overexpressed 3, a protein containing an RNA-binding domain and required for nuclear poly(A)+ mRNA export					SPBC1D7.04	RNA annealing factor Mlo3		Q09330							
C13G7.02c.B		Protein with strong similarity to heat shock protein 70 (C. albicans Hsp70p), member of the Hsp70 family, which are stress-induced protein chaperones					SPAC13G7.02c	ssa1,  heat shock protein 70 family		Q10265							
C23G3.10c		Member of the SWIB complex BAF60b domain family, has low similarity to SWI/SNF related matrix associated actin-dependent regulator of chromatin subfamily d member 2 (mouse Smarcd2), which is a DNA-binding protein					SPAC23G3.10c	transcription factor		Q9P7S3							
C17C9.12		Protein containing a major sperm protein (MSP) domain, has low similarity to a region of vesicle-associated membrane protein (VAMP)-associated protein A (human VAPA), which binds SNAREs and may serve in vesicle transport and fusion					SPAC17C9.12	MSP domain		Q10484							
C29B12.11c		Protein of unknown function					SPAC29B12.11c	human WW domain binding protein-2 ortholog		O14032							
C17C9.14		Member of the Pex19 protein family, which are involved in peroxisome assembly					SPAC17C9.14	Pex19 protein family		Q10485							
C323.01c		Member of the ATP-NAD kinase family, has moderate similarity to S. cerevisiae Pos5p, which is involved in sensitivity to peroxide					SPAC323.01c	NAD/NADH kinase (predicted)		Q9UT98							
C2G11.13		Protein with weak similarity to S. cerevisiae Atg22p, which is required for degradation of autophagic vesicles inside vacuole					SPAC2G11.13	hypothetical protein		Q09812							
C2G11.14		Probable component of the TFIID complex					SPAC2G11.14	transcription initiation factor activity,  taf1,  taf130		Q09813							
C1259.09c		Member of the E3 binding domain family, contains a biotin or lipoyl attachment domain, which bind both biotin and lipoic acid, has low similarity to pyruvate dehydrogenase complex protein X (S. cerevisiae Pdx1p), which binds S. cerevisiae Lpd1p					SPCC1259.09c	pyruvate dehydrogenase protein x component		O94709							
C354.09c		Member of the protease associated (PA) domain containing family, contains a transferrin receptor-like dimerization domain, has low similarity to folate hydrolase 1 (rat Folh1), which has folate hydrolase and alpha-linked acidic dipeptidase activities					SPBC354.09c	protease (predicted)		O43023							
C685.01		Inner centromere protein (INCENP), may be required for Ark1p function during cytokinesis					SPBC336.15	INCENP-like,  SPBC685.01		Q9UST0							
C22F8.04		Protein of unknown function, appears to localize to membranes					SPAC22F8.04	phosphate/phosphoenolpyruvate translocator (predicted)		Q9UUI8							
C685.02		Protein of unknown function, has low similarity to uncharacterized human C1ORF176					SPBC685.02	conserved eukaryotic protein		Q9Y7L4							
C22F8.05		Member of the glycosyltransferase 20 and trehalose-phosphatase families, has low similarity to S. cerevisiae Tps3p, which is a regulatory component of the trehalose-6-phosphate synthase/phosphatase complex					SPAC22F8.05	alpha, alpha-trehalose-phosphate synthase (predicted)		Q9UUI7							
C685.03		Protein of unknown function					SPBC685.03	serine-rich protein		Q9Y7L5							
C685.05	EC2.4.1.198	Protein of unknown function					SPBC685.05	pig-H (predicted)		Q9Y7L7							
C685.06		40S ribosomal protein S0					SPBC685.06	40S ribosomal protein S0A (p40),  rps0-1,  rpsa-1,  rps0		Q9Y7L8							
C22F8.09		Member of the p60-like protein family, has moderate similarity to S. cerevisiae Ypl146p, which is a nuclear and nucleolar protein involved in 60S ribosomal subunit biogenesis and associated with the nuclear pore complex					SPAC22F8.09	ribosomal RNA processing protein,  nop53		Q9UUI4							
C685.08		Protein of unknown function					SPBC685.08	sequence orphan		Q9Y7L9							
C1795.07		Putative mitochondrial 40S ribosomal protein					SPCC1795.07	mitochondrial ribosomal protein S13		O59772							
C1795.09		Aspartic protease, member of the yapsin family of aspartyl proteases					SPCC1795.09	aspartic protease		O59774							
C582.06c		Meiosis-specific coiled-coil protein 6, localizes to the spindle pole body is required for proper astral microtubule organization leading to horsetail movement and recombination					SPBC582.06c	meiosis specific coiled-coil protein Mcp6,  hrs1		Q10336							
C6G9.13c		Protein required for telomere clustering at the spindle pole body					SPAC6G9.13c	sequence orphan		Q92358							
zfs1		Zinc-finger protein 1, involved in mating and meiosis					SPBC1718.07c	zinc finger protein		P47979							
C1006.01	EC3.4.24.-	Subtilase-type serine peptidase					SPAC1006.01	serine protease (predicted)		Q9UTS0							
C1006.02		Protein containing five WD domain G-beta repeats, has weak similarity to uncharacterized C. neoformans Cnn00390_D					SPAC1006.02	WD repeat protein		Q9UTR9							
P22190		Protein possibly involved in mitochondrial splicing; encoded by an intron in the mitochondrial cox1 gene					SPMIT.03	hypothetical protein									
P21534		Cytochrome c oxidase subunit II, mitochondrially encoded					SPMIT.11	cytochrome c oxidase 2									
paa1		Protein phosphatase 2A, 65 kDa regulatory subunit					SPAP8A3.09c	protein phosphatase regulatory subunit A		Q9UT08							
P22191		Intron-encoded RNA maturase and DNA endonuclease encoded by the first intron of the mitochondrial cox1 gene					SPMIT.02	hypothetical protein									
P21535		F0-ATP synthase subunit 6 (ATPase-associated proteolipid), mitochondrially coded					SPMIT.07	F0-ATPase subunit 6									
P21536		F0-ATP synthase subunit 8 (ATPase-associated proteolipid); mitochondrially encoded					SPMIT.09	F0-ATPase subunit 8									
C1006.06		Probable Rho GEF protein with a role in actin cytoskeleton organization					SPAC1006.06	rgf2,  GDP-GTP exchange protein for Rho1p (predicted)		Q9UTR5							
P21537	EC3.6.3.14	F0-ATP synthase subunit 9 (ATPase-associated proteolipid), mitochondrially encoded					SPMIT.10	F0-ATPase subunit 9									
C323.02c	EC3.4.25.1	Protein with high similarity to proteasome subunit alpha5_sc (S. cerevisiae Pup2p), which is an endopeptidase, member of the A- or B-type proteasome family					SPAC323.02c	20S proteasome component (alpha 5)		Q9UT97							
C955.01c	EC3.6.3.1	Protein with moderate similarity to S. cerevisiae Dnf3p, which is a P-type ATPase required for translocating phosphatidylcholine and phosphatidylethanolamine and establishing their asymmetry within the lipid bilayer of post-Golgi secretory vesicles					SPAC821.13c	P-type ATPase,  SPAC955.01c		Q9UT43							
misc_RNA_1.1.46.RC			transcribed strand (GeneDB); mRNA from spc01047 not associated with an ORF; possible 3' UTR of SPAC1B2.03c (similar profile on microarray)				SPNCRNA.75	non-coding RNA (predicted)									
misc_RNA_3.3.21.RC			non-coding strand (GeneDB); small nuclear RNA U3				SPSNRNA.03	small nuclear RNA U3,  U3,  U3snRNA									
C31F10.10c		Member of the MYND zinc finger family, has low similarity to S. cerevisiae Mub1p, which is a zinc finger protein involved in the regulation of bud site selection					SPBC31F10.10c	zinc finger protein		P87311							
C3H7.02		Protein with high similarity to S. cerevisiae Sul2p, which is a high-affinity sulfate transporter, member of the sulfate transporter family, contains a sulfate transporter and antisigma factor antagonist (STAS) domain, which may bind NTPs					SPBC3H7.02	sulfate transporter (predicted)		O74377							
C3H7.04		Protein containing an iron or manganese superoxide dismutases C-terminal domain, has low similarity to S. cerevisiae Rsm26p, which is a mitochondrial ribosome small subunit component that is required for respiratory growth					SPBC3H7.04	mitochondrial ribosomal subunit		O74379							
car1: sod1		Cell surface transporter involved in amiloride sensitivity, functions as a vitamin B6 transporter					SPAC17A2.01	MFS efflux transporter,  SPAC1B1.05,  obsolete:sod1,  obsolete:car1		P33532							
C1795.13		Protein with weak similarity to S. cerevisiae Fig2p, which is involved in mating induction					SPCC1742.01	glycoprotein (predicted),  SPCC1795.13,  SPCPB16A4.07c		Q9P6S0							
C3H7.09		Member of the DHHC zinc finger domain containing family, which may be involved in protein-protein or protein-DNA interactions , has low similarity to a region of S. cerevisiae Erf2p, which is involved in palmitoylation and localization of S. cerevisiae Ras2p					SPBC3H7.09	palmitoyltransferase (predicted)		O74384							
hxk1	EC2.7.1.1	Hexokinase 1, catalyzes the first irreversible step in glucose metabolism					SPAC24H6.04	hexokinase		Q09756							
C23G3.12c		Protein with high similarity to S. cerevisiae Ynl123p, which is a putative serine protease involved in promoting apoptosis following heat shock or exposure to hydrogen peroxide, contains a PDZ, DHR, or GLGF domain, which are found in signaling proteins					SPAC23G3.12c	serine protease (predicted)		Q9P7S1							
hxk2	EC2.7.1.1	Hexokinase 2, catalyzes glucose phosphorylation					SPAC4F8.07c	hexokinase 2		P50521							
arp10		Actin related protein 2/3 complex subunit 4, a component of the Arp2/3 complex that is involved in actin cortical patch assembly					SPAC6G9.07c	ARP2/3 actin-organizing complex Arc4p subunit,  obsolete:arp10		Q92352							
kes1		Protein with high similarity to S. cerevisiae Kes1p, which is implicated in ergosterol biosynthesis, member of the oxysterol-binding protein (OSBP) family, which are involved in sterol biosynthesis and possibly regulation					SPBC1271.12	oxysterol binding protein (predicted)									
P4H10.11c		Member of the AMP-binding enzyme family, has moderate similarity to S. pombe Lcf1p, which is a probable fatty acyl-CoA synthetase					SPBP4H10.11c	long-chain-fatty-acid-CoA ligase activity (predicted)		Q9P7D7							
brc1		Member of the BRCA1 C terminus (BRCT) domain-containing family, has weak similarity to S. cerevisiae Rtt107p, which acts in DNA synthesis after DNA damage during S phase, chromatin silencing, and regulation of Ty1 mobility					SPBC582.05c	BRCT domain		Q10337							
pab1		Protein phosphatase PP2A regulatory subunit b					SPAC227.07c	protein phosphatase regulatory subunit		Q12702							
pab2		Protein containing one RNA recognition motif (RRM, RBD, or RNP), has high similarity to a region of poly(A)-binding protein nuclear 1 (human PABPN1), which stimulates long poly(A) tail synthesis and is associated with oculopharyngeal muscular dystrophy					SPBC16E9.12c	poly(A) binding protein		O14327							
gms1		UDP-galactose transporter that is essential for galactosylation of proteins, conjugation, and flocculation					SPCC1795.03	UDP-galactose transporter		P87041							
P21547		Mitochondrially-encoded protein required for respiration, may be involved in maintenance or stability of the mitochondrial genome					SPMIT.08	ribosomal small subunit									
C323.03c		Protein of unknown function					SPAC323.03c	sequence orphan		Q9UT96							
C30D10.17c		Protein with low similarity to S. cerevisiae Smi1p, which is involved in beta-1,3-glucan synthesis possibly through regulation of cell wall glucan and chitin synthesis					SPBC30D10.17c	glucan synthase regulator (predicted)		O14362							
skp1		Serine/threonine kinase of the glycogen synthase kinase 3 (GSK-3) family, involved in cytokinesis					SPAC1687.15	serine/threonine protein kinase,  skp1		Q10452							
C776.05.B		Protein of unknown function, has moderate similarity to uncharacterized C. albicans Orf19.988p					SPBC776.05	membrane transporter (predicted)		O94673							
C830.08c		Member of the TB2 or DP1 and HVA22 related protein family, has moderate similarity to S. cerevisiae Yop1p, which acts together with S. cerevisiae Yip1p in membrane trafficking					SPCC830.08c	Golgi membrane protein (predicted)		Q9UU91							
PB2B4.01c	EC3.5.1.-	Member of the uncharacterized LmbE-like family, has moderate similarity to human PIGL, which is an N-acetylglucosaminylphosphatidylinositol deacetylase					SPAPB2B4.01c	pigL		Q9HDW9							
C3H7.10		Protein of unknown function					SPBC3H7.10	conserved eukaryotic protein		O74385							
C19A8.02		Protein of unknown function, appears to localize to the spindle pole body					SPAC19A8.02	pleckstrin homology domain		O13818							
C589.01c		Protein of unknown function					SPAC16A10.08c	sequence orphan,  SPAC589.01c		P87299							
C3H7.11		Protein of unknown function, has high similarity to uncharacterized mouse Mettl6					SPBC3H7.11	actin binding methyltransferase (predicted)		O74386							
C19A8.03	EC3.1.3.48	Putative myotubularin-like protein-tyrosine phosphatase, involved in determining cellular PI3P and possibly PI-3,5-P2 levels					SPAC19A8.03	myotubularin-related protein		O13819							
C3H7.12		Protein of unknown function					SPBC3H7.12	sequence orphan		O74387							
C19A8.04		Protein with high similarity to ergosterol deficient 5 (delta-22 sterol desaturase, S. cerevisiae Erg5p), which catalyzes an intermediate pathway step in the biosynthesis of ergosterol					SPAC19A8.04	erg5,  C-22 sterol desaturase (predicted)		O13820							
C3H7.13		Member of the forkhead associated (FHA) domain family, has a region of moderate similarity to a region of S. pombe Dma1p, which is a component of the spindle checkpoint pathway					SPBC3H7.13	FHA domain (phosphopeptide binding)		O74388							
C3H7.14		Protein of unknown function					SPBC3H7.14	hypothetical protein		O74389							
C19A8.06		Protein of unknown function, has moderate similarity to uncharacterized C. albicans Orf19.6233p					SPAC19A8.06	oxidoreductase		O13822							
C3H7.16		Member of the Beige or BEACH domain-containing family, contains three WD domain G-beta repeats, has weak similarity to a region of WD repeat and FYVE domain containing 3 (mouse Wdfy3), which has beta 1,4 galactosyltransferase activity					SPBC28E12.06c	beige protein homolog,  SPBC3H7.16		O74390							
C19A8.09		Protein with high similarity to S. cerevisiae Yer074p, which is an integral membrane protein required for ER to Golgi transport and a component of S. cerevisiae Yip1p and S. cerevisiae Yif1p complex					SPAC19A8.09	conserved eukaryotic protein		O13825							
C2G2.04c		Mitochondrial protein with homology to S cerevisiae Mmf1, which is involved in mitochondrial DNA stability, member of the p14.5 family					SPBC2G2.04c	conserved eukaryotic protein,  pmf1		O43003							
C29B12.14c		Member of the cytosine, purines, uracil, thiamine, or allantoin permease family, which are integral membrane transporters, has moderate similarity to uracil permease (S. cerevisiae Fur4p)					SPAC29B12.14c	purine transporter (predicted)		O14035							
C6G9.15c		Protein of unknown function					SPAC6G9.15c	sequence orphan		Q92360							
itr1		Putative sugar transporter with additional low capacity for myo-inositol transport					SPAC4F8.15	myo-inositol transporter,  SPAC7D4.01		Q10286							
brd1		Bromodomain protein, putative transcriptional activator					SPBC1734.15	bromodomain protein		Q09948							
itr2		Essential myo-inositol transporter					SPAC20G8.03	MFS myo-inositol transporter		P87110							
C1289.08	EC2.7.7.23	Member of the UTP-glucose-1-phosphate uridylyltransferase family, has moderate similarity to C. albicans Uap1p, which is a UDP-N-acetylglucosamine pyrophosphorylase					SPBC1289.08	UDP-N-acetylglucosamine diphosphorylase (predicted)		O94617							
pac2		Regulatory protein involved in control of sexual development via a pathway independent of the cAMP cascade					SPAC31G5.11	cAMP-independent regulatory protein Pac2		Q10294							
C1289.09		Protein of unknown function					SPBC1289.09	mitochondrial inner membrane presequence translocase complex subunit (predicted)		O94618							
C830.09c		Member of the Rpp14 family, has moderate similarity to S. cerevisiae Pop5p, which is a subunit of both RNase P involved in tRNA processing and RNase MRP involved in 5.8S rRNA processing					SPCC830.09c	RNase P and RNase MRP subunit (predicted)		Q9UU90							
cut1		Separase, required for sister chromatid separation and involved in poly(A)+ mRNA transport from the nucleus					SPCC5E4.04	separin		P18296							
C36B7.01		Member of the SecY protein family, which are protein translocators, has low similarity to S. cerevisiae Sec61p, which is a component of the Sec61p-Sss1p-Sbh1p complex and is involved in protein translocation into the endoplasmic reticulum					SPBC19G7.17	translocon (predicted),  SPBC36B7.01		O42965							
cut2		Securin, required for sister chromatid separation					SPBC14C8.01c	securin,  SPBC1815.02c		P21135							
C36B7.02		Protein of unknown function					SPBC36B7.02	hypothetical protein		Q9HGN8							
cut3		Protein required for proper chromosome condensation in mitosis					SPBC146.03c	condensin subunit,  smc4		P41004							
C36B7.03		Member of the Sec63 domain containing family, contains a DnaJ domain, which are part of chaperone system that mediates interaction with heat shock proteins, has low similarity to S. cerevisiae Sec63p, which is part of ER protein-translocation subcomplex					SPBC36B7.03	ER protein translocation subcomplex subunit Sec63 (predicted)		Q9HGN7							
C36B7.04		Member of the dihydrouridine synthase (Dus) family, has high similarity to S. cerevisiae Dus1p, which catalyzes dihydrouridine modification of tRNA					SPBC36B7.04	dihydrouridine synthase (predicted)		Q9HGN6							
mei2		RNA-binding protein involved in meiosis					SPAC27D7.03c	RNA-binding protein involved in meiosis Mei1		P08965							
mei3		Protein that induces meiosis and sporulation by inhibiting Ran1p					SPBC119.04	meiosis inducing protein Mei3		P08090							
cut4		Component of the Anaphase-Promoting Complex and a possible target for the spindle checkpoint pathway					SPBC106.09	anaphase-promoting complex (APC) subunit Cut4		Q9URV2							
C19A8.10		Protein of unknown function					SPAC19A8.10	zinc finger protein		O13826							
cut6	EC6.3.4.14	Probable acetyl CoA carboxylase, required for coordinated nuclear division and cytokinesis					SPAC56E4.04c	acetyl-CoA carboxylase		P78820							
C19A8.12		Protein containing a mutT domain, and a Dcp2 box A domain, has low similarity to S. cerevisiae Dcp2p, which is a putative pyrophosphatase required with S. cerevisiae Dcp1p for mRNA decapping that suppresses the respiratory deficiency of a petite mutant					SPAC19A8.12	pyrophosphatase (predicted)		O13828							
C589.02c		Component of a mediator subcomplex that apparently functions in the negative regulation of transcription					SPAC589.02c	mediator complex submodule,  spTrap240		Q9HE02							
cut7		Kinesin that functions in mitosis					SPAC25G10.07c	kinesin-like protein Cut7		P24339							
C19A8.13		Protein containing one RNA recognition motif (RRM, RBD, or RNP), has moderate similarity to S. cerevisiae Snp1p, which is an U1 snRNA-associated protein involved in mRNA splicing					SPAC19A8.13	U1 snRNP associated (predicted)		O13829							
C36B7.09		Putative heme-regulated eukaryotic translation initiation factor 2 alpha kinase					SPBC36B7.09	RWD domain,  SPBP18G5.01		Q9HGN1							
cut8		Protein involved in proper sister chromatid separation					SPAC17C9.13c	Cut8 protein		P38937							
C1565.01		Member of the hypoxia-induced protein conserved region containing family, which may be membrane proteins, has low similarity to uncharacterized A. fumigatus Afa14e5.14c					SPAC1565.01	hypothetical protein		Q9P3B2							
C19A8.14		Member of the UPF0099 domain of unknown function family, has moderate similarity to S. cerevisiae Pth2p, which is a peptidyl-tRNA hydrolase					SPAC19A8.14	aminoacyl-tRNA hydrolase (predicited)		O13830							
cut9		Component of the APC, possible target of the spindle checkpoint					SPAC6F12.15c	anaphase-promoting complex (APC),  dre1		P41889							
C19A8.15	EC4.2.1.20	Protein with high similarity to tryptophan synthase (S. cerevisiae Trp5p), which catalyzes the last step in tryptophan biosynthesis, member of the pyridoxal phosphate dependent enzyme beta family, contains a tryptophan synthase alpha chain domain					SPAC19A8.15	tryptophan synthase		O13831							
C1565.03		Protein of unknown function					SPAC1565.03	sequence orphan		Q9P3B0							
C1565.05		Protein of unknown function					SPAC1565.05	sequence orphan		Q9P3A9							
C16E9.05	EC2.1.1.41	Putative delta-sterol c-methyltransferase					SPBC16E9.05	erg6,  delta-sterol C-methyltransferase (predicted)		O14321							
C11G7.05c	EC2.3.1.39	Protein containing an acyl transferase domain, has weak similarity to uncharacterized C. albicans Mct1p					SPAC11G7.05c	[acyl-carrier protein] S-malonyltransferase		O13698							
C16E9.07		Protein of unknown function					SPBC16E9.07	sequence orphan		O14322							
suc22	EC1.17.4.1	Ribonucleoside-diphosphate reductase small chain					SPBC25D12.04	ribonucleotide reductase small subunit Suc22		P36603							
C16E9.08		Meiosis-specific coiled-coil protein					SPBC16E9.08	mcp4,  meiosis specific coiled-coil protein mcp4		O14323							
C6C3.10c		Protein with low similarity to tRNA ligase (S. cerevisiae Trl1p), which exhibits adenylate synthetase, polynucleotide kinase, and 2',3'-cyclic phosphodiesterase activities and is required for tRNA splicing					SPAC17G8.01c	tRNA ligase (predicted),  SPAC6C3.10c		Q10313							
