CG6883	FBan0006883	FBgn0003749	trh	trachealess	FBgn0010944,FBgn0026793
CG4881	FBan0004881	FBgn0000287	salr	spalt-related	
CG4882	FBan0004882	FBgn0025336	CG4882	CG4882	
CG4884	FBan0004884	FBgn0039565	CG4884	CG4884	
CG4886	FBan0004886	FBgn0028382	cyp33	cyclophilin-33	
CG4887	FBan0004887	FBgn0031318	CG4887	CG4887	
CG10930	FBan0010930	FBgn0003140	PpY-55A	Protein phosphatase Y at 55A	FBgn0005781,FBgn0034285
CG4889	FBan0004889	FBgn0004009	wg	wingless	FBgn0001109,FBgn0003467,FBgn0003469,FBgn0011783
CG10931	FBan0010931	FBgn0034274	CG10931	CG10931	
CG11660	FBan0011660	FBgn0036187	CG11660	CG11660	
CG10932	FBan0010932	FBgn0029969	CG10932	CG10932	
CG11661	FBan0011661	FBgn0010352	Nc73EF	Neural conserved at 73EF	FBgn0036682,FBgn0062089
CG12390	FBan0012390	FBgn0015582	dare	defective in the avoidance of repellents	
CG10933	FBan0010933	FBgn0034264	CG10933	CG10933	
CG12391	FBan0012391	FBgn0033581	CG12391	CG12391	FBgn0044672
CG10934	FBan0010934	FBgn0034263	CG10934	CG10934	FBgn0044751
CG11663	FBan0011663	FBgn0029539	CG11663	CG11663	FBgn0061466
CG11664	FBan0011664	FBgn0040341	CG11664	CG11664	FBgn0029536
CG12393	FBan0012393	FBgn0031768	CG12393	CG12393	
CG11665	FBan0011665	FBgn0033028	CG11665	CG11665	
CG10936	FBan0010936	FBgn0034253	CG10936	CG10936	
CG11666	FBan0011666	FBgn0040648	CG11666	CG11666	
CG12395	FBan0012395	FBgn0030722	CG12395	CG12395	
CG12396	FBan0012396	FBgn0022069	Nnp-1	Nnp-1	FBgn0032508
CG10938	FBan0010938	FBgn0016697	ProsMA5	Proteasome &agr; subunit	
CG10939	FBan0010939	FBgn0010620	Sip1	SRY interacting protein 1	FBgn0034209
CG11668	FBan0011668	FBgn0038113	CG11668	CG11668	
CG12398	FBan0012398	FBgn0030596	CG12398	CG12398	
CG11669	FBan0011669	FBgn0033296	CG11669	CG11669	
CG12399	FBan0012399	FBgn0011648	Mad	Mothers against dpp	FBgn0000105,FBgn0013945,FBgn0022270,FBgn0024356
CR33450		FBgn0053450	5SrRNA:CR33450	5SrRNA:CR33450	
CR33451		FBgn0053451	5SrRNA:CR33451	5SrRNA:CR33451	
CR33452		FBgn0053452	5SrRNA:CR33452	5SrRNA:CR33452	
CG4891	FBan0004891	FBgn0028520	CG4891	CG4891	FBgn0027927
CG4892	FBan0004892	FBgn0028884	CG4892	CG4892	FBgn0063712
CG4893	FBan0004893	FBgn0036616	CG4893	CG4893	
CG4894	FBan0004894	FBgn0001991	Ca-&agr;1D	Ca<up>2+</up>-channel protein &agr;<down>1</down> subunit D	FBgn0004881
CG4896	FBan0004896	FBgn0031319	CG4896	CG4896	
CG4897	FBan0004897	FBgn0005593	RpL7	Ribosomal protein L7	FBgn0043838
CG4898	FBan0004898	FBgn0003721	Tm1	Tropomyosin 1	FBgn0010776,FBgn0011036,FBgn0015832,FBgn0015833,FBgn0046771,FBgn0046800,FBgn0060408,FBgn0064771
CG4899	FBan0004899	FBgn0011693	Pdh	Photoreceptor dehydrogenase	
CG11670	FBan0011670	FBgn0038114	CG11670	CG11670	
CG11671	FBan0011671	FBgn0037562	CG11671	CG11671	FBgn0063189
CG11672	FBan0011672	FBgn0037563	CG11672	CG11672	FBgn0063043
CG10943	FBan0010943	FBgn0036320	CG10943	CG10943	
CG10944	FBan0010944	FBgn0004922	RpS6	Ribosomal protein S6	FBgn0004371,FBgn0004388,FBgn0065997
CG11674	FBan0011674	FBgn0030551	CG11674	CG11674	
CG10946	FBan0010946	FBgn0029974	dpr14	dpr14	
CG10947	FBan0010947	FBgn0032857	CG10947	CG10947	
CG10948	FBan0010948	FBgn0036317	CG10948	CG10948	
CG10949	FBan0010949	FBgn0032858	CG10949	CG10949	
CG11678	FBan0011678	FBgn0011741	Actr13E	Actin-related protein 13E	
CG11679	FBan0011679	FBgn0030678	CG11679	CG11679	
CR32730	FBan0032730	FBgn0047092	CR32730	CR32730	FBgn0052730
CG10950	FBan0010950	FBgn0034205	CG10950	CG10950	
CG10951	FBan0010951	FBgn0045980	niki	nimA-like kinase	FBgn0039230
CG11680	FBan0011680	FBgn0002774	mle	maleless	
CG10952	FBan0010952	FBgn0000535	eag	ether a go-go	
CG10953	FBan0010953	FBgn0034204	CG10953	CG10953	
CG1200	FBan0001200	FBgn0040281	Aplip1	APP-like protein interacting protein 1	FBgn0020447,FBgn0026251,FBgn0035188
CG10954	FBan0010954	FBgn0032859	Arc-p34	Arc-p34	FBgn0062209
CG10955	FBan0010955	FBgn0034722	CG10955	CG10955	
CG10956	FBan0010956	FBgn0034195	CG10956	CG10956	
CG11686	FBan0011686	FBgn0040551	CG11686	CG11686	FBgn0047032
CG10958	FBan0010958	FBgn0030004	CG10958	CG10958	
CG10959	FBan0010959	FBgn0030010	CG10959	CG10959	
CR32740	FBan0032740	FBgn0052740	CR32740	CR32740	FBgn0060235
CG1208	FBan0001208	FBgn0037386	CG1208	CG1208	
CR33471		FBgn0053471	CR33471	CR33471	
CR32747	FBan0032747	FBgn0016974	swa&PSgr;	swallow pseudogene	FBgn0052747
CR32748	FBan0032748	FBgn0052748	CR32748	CR32748	FBgn0060236
CG10960	FBan0010960	FBgn0036316	CG10960	CG10960	
CG10961	FBan0010961	FBgn0026318	Traf2	TNF-receptor-associated factor 2	
CG10962	FBan0010962	FBgn0030073	CG10962	CG10962	FBgn0030072,FBgn0047129,FBgn0062683
CG11692	FBan0011692	FBgn0031125	CG11692	CG11692	
CG10964	FBan0010964	FBgn0030026	sni	sniffer	FBgn0066834
CG11693	FBan0011693	FBgn0037570	CG11693	CG11693	
CG1210	FBan0001210	FBgn0020386	Pk61C	Protein kinase 61C	FBgn0035098
CG10965	FBan0010965	FBgn0030028	Corp	Companion of reaper	
CG11694	FBan0011694	FBgn0037571	CG11694	CG11694	
CG10966	FBan0010966	FBgn0003217	rdgA	retinal degeneration A	
CG11695	FBan0011695	FBgn0030316	CG11695	CG11695	
CG1212	FBan0001212	FBgn0035101	p130CAS	p130CAS	
CG10967	FBan0010967	FBgn0010715	Atg1	Autophagy-specific gene 1	FBgn0036313,FBgn0062118
CG1213	FBan0001213	FBgn0037387	CG1213	CG1213	
CG11696	FBan0011696	FBgn0030314	CG11696	CG11696	
CG11697	FBan0011697	FBgn0030313	CG11697	CG11697	FBgn0066828
CG1214	FBan0001214	FBgn0003295	ru	roughoid	FBgn0035215,FBgn0041724
CG11698	FBan0011698	FBgn0037572	CG11698	CG11698	
CG10969	FBan0010969	FBgn0036310	CG10969	CG10969	
CG11699	FBan0011699	FBgn0030311	CG11699	CG11699	
CG1216	FBan0001216	FBgn0035107	mri	mrityu	
CG1218	FBan0001218	FBgn0037377	CG1218	CG1218	
CG10970	FBan0010970	FBgn0030078	CG10970	CG10970	FBgn0062471
CG10971	FBan0010971	FBgn0036309	CG10971	CG10971	
CG10972	FBan0010972	FBgn0034730	ppk12	pickpocket 12	
CG10973	FBan0010973	FBgn0036306	CG10973	CG10973	
CG1220	FBan0033045	FBgn0063923	Kaz1-ORFB	Kaz1-ORFB	FBgn0026414
CG10975	FBan0010975	FBgn0014007	Ptp69D	Protein tyrosine phosphatase 69D	
CG1221	FBan0001221	FBgn0027111	miple	miple	FBgn0027731
CG10978	FBan0010978	FBgn0037374	jagn	jagunal	
CG10979	FBan0010979	FBgn0037379	CG10979	CG10979	
CG1225	FBan0001225	FBgn0035128	RhoGEF3	RhoGEF3	
CG1227	FBan0001227	FBgn0037491	CG1227	CG1227	
CG1228	FBan0001228	FBgn0035133	Ptpmeg	Ptpmeg	FBgn0062170
CR32761	FBan0032761	FBgn0052761	CR32761	CR32761	FBgn0060254
CG18102	FBan0018102	FBgn0003392	shi	shibire	FBgn0030705,FBgn0045942,FBgn0045943,FBgn0045944
CG18103	FBan0018103	FBgn0013442	fos28F	fos-related gene at 28F	FBgn0011820,FBgn0031994,FBgn0051608,FBgn0063629
CG18104	FBan0018104	FBgn0023535	arg	arginase	FBgn0024982,FBgn0029528
CG18105	FBan0018105	FBgn0028738	ETH	Ecdysis triggering hormone	FBgn0035067
CG18106	FBan0018106	FBgn0025583	IM2	Immune induced molecule 2	FBgn0034332,FBgn0044675,FBgn0047046
CG18107	FBan0018107	FBgn0034330	CG18107	CG18107	FBgn0047044
CG18108	FBan0018108	FBgn0034329	IM1	Immune induced molecule 1	FBgn0062964
CG10981	FBan0010981	FBgn0037384	CG10981	CG10981	
CG18109	FBan0018109	FBgn0028901	CG18109	CG18109	FBgn0032572
CG10984	FBan0010984	FBgn0036305	CG10984	CG10984	
CG1231	FBan0001231	FBgn0035134	CG1231	CG1231	
CG10986	FBan0010986	FBgn0001087	g	garnet	FBgn0001800,FBgn0030516,FBgn0030517
CG1232	FBan0001232	FBgn0003710	tipE	temperature-induced paralytic E	
CG1233	FBan0001233	FBgn0035137	CG1233	CG1233	
CG10987	FBan0010987	FBgn0040647	CG10987	CG10987	
CG1234	FBan0001234	FBgn0037489	CG1234	CG1234	
CG10988	FBan0010988	FBgn0001612	l(1)dd4	lethal (1) discs degenerate 4	FBgn0026429,FBgn0040196,FBgn0066830
CG10989	FBan0010989	FBgn0037392	CG10989	CG10989	
CG1236	FBan0001236	FBgn0037370	CG1236	CG1236	
CG1239	FBan0001239	FBgn0037368	CG1239	CG1239	
CR32777	FBan0032777	FBgn0019661	roX1	RNA on the X 1	FBgn0015564,FBgn0052777,FBgn0063259
CG18110	FBan0018110	FBgn0039677	CG18110	CG18110	
CG18111	FBan0018111	FBgn0039678	Obp99a	Odorant-binding protein 99a	FBgn0062910
CG18112	FBan0018112	FBgn0039702	Vps16B	Vps16B	
CG10990	FBan0010990	FBgn0030520	CG10990	CG10990	
CG10991	FBan0010991	FBgn0037389	CG10991	CG10991	
CG10992	FBan0010992	FBgn0030521	CG10992	CG10992	FBgn0026294
CG10993	FBan0010993	FBgn0030524	CG10993	CG10993	FBgn0063227
CG1240	FBan0001240	FBgn0035370	CG1240	CG1240	
CG1241	FBan0001241	FBgn0044452	Atg2	Autophagy-specific gene 2	FBgn0035373
CG10996	FBan0010996	FBgn0030525	CG10996	CG10996	
CG1242	FBan0001242	FBgn0001233	Hsp83	Heat shock protein 83	FBgn0004639,FBgn0010233,FBgn0011792,FBgn0016742,FBgn0024852,FBgn0044664
CG10997	FBan0010997	FBgn0030529	Clic	Chloride intracellular channel	FBgn0040150
CG1244	FBan0001244	FBgn0035357	CG1244	CG1244	FBgn0025995,FBgn0061858
CG10998	FBan0010998	FBgn0031142	CG10998	CG10998	
CG1245	FBan0001245	FBgn0037359	MED27	Mediator complex subunit 27	
CG10999	FBan0010999	FBgn0037381	CG10999	CG10999	FBgn0044622
CG1246	FBan0001246	FBgn0035360	CG1246	CG1246	
CG1249	FBan0001249	FBgn0037434	CG1249	CG1249	FBgn0064927
CR32784	FBan0032784	FBgn0025118	tRNA:P:3E	tRNA:P:3E	FBgn0052784,FBgn0060119
CR32785	FBan0032785	FBgn0052785	CR32785	CR32785	FBgn0060109
CG32700	FBan0032700	FBgn0052700	CG32700	CG32700	FBgn0030134,FBgn0030135,FBgn0040934,FBgn0042222,FBgn0046791
CG32701	FBan0032701	FBgn0028327	l(1)G0320	lethal (1) G0320	FBgn0030135,FBgn0052701
CG32702	FBan0032702	FBgn0052702	CG32702	CG32702	FBgn0030138
CG32703	FBan0032703	FBgn0052703	CG32703	CG32703	FBgn0030118,FBgn0030119
CG18124	FBan0018124	FBgn0028530	mTTF	mitochondrial transcription termination factor	FBgn0027850
CG32704	FBan0032704	FBgn0052704	CG32704	CG32704	FBgn0030110,FBgn0030111
CG18125	FBan0018125	FBgn0028917	CG18125	CG18125	
CG32705	FBan0032705	FBgn0052705	CG32705	CG32705	FBgn0003058,FBgn0030127,FBgn0030128,FBgn0030129
CG32706	FBan0032706	FBgn0052706	CG32706	CG32706	
CG32707	FBan0032707	FBgn0052707	APC4	Anaphase Promoting Complex 4	FBgn0030083
CG32708	FBan0032708	FBgn0052708	CG32708	CG32708	FBgn0030084
CG18128	FBan0018128	FBgn0034898	CG18128	CG18128	
CG32709	FBan0032709	FBgn0052709	CG32709	CG32709	FBgn0062472
CG1250	FBan0001250	FBgn0037357	sec23	sec23	FBgn0011441
CG1252	FBan0001252	FBgn0004782	Ccp84Ab	Ccp84Ab	
CG1257	FBan0001257	FBgn0015571	&agr;-Est3	&agr;-Esterase-3	
CG1258	FBan0001258	FBgn0011692	pav	pavarotti	FBgn0022345
CG1259	FBan0001259	FBgn0035513	CG1259	CG1259	
CG18130	FBan0018130	FBgn0030359	CG18130	CG18130	
CG32710	FBan0032710	FBgn0052710	CG32710	CG32710	
CG32711	FBan0032711	FBgn0052711	CG32711	CG32711	FBgn0063662
CG18131	FBan0018131	FBgn0031343	CG18131	CG18131	FBgn0061462
CG18132	FBan0018132	FBgn0031345	CG18132	CG18132	
CG32712	FBan0032712	FBgn0052712	CG32712	CG32712	
CG32713	FBan0032713	FBgn0052713	CG32713	CG32713	
CG17404	FBan0017404	FBgn0038001	CG17404	CG17404	
CG32714	FBan0032714	FBgn0052714	CG32714	CG32714	FBgn0030046,FBgn0047087
CG32715	FBan0032715	FBgn0052715	CG32715	CG32715	
CG18135	FBan0018135	FBgn0036837	CG18135	CG18135	
CG18136	FBan0018136	FBgn0036839	CG18136	CG18136	
CG32717	FBan0032717	FBgn0003349	sdt	stardust	FBgn0001465,FBgn0025216,FBgn0030019,FBgn0030020,FBgn0030021,FBgn0030022,FBgn0030023,FBgn0030024,FBgn0040927,FBgn0052716,FBgn0052717
CG32718	FBan0032718	FBgn0052718	CG32718	CG32718	
CG18139	FBan0018139	FBgn0038522	CG18139	CG18139	
CG32719	FBan0032719	FBgn0052719	CG32719	CG32719	
CG1262	FBan0001262	FBgn0020509	Acp62F	Accessory gland peptide 62F	
CG1263	FBan0001263	FBgn0024939	RpL8	Ribosomal protein L8	FBgn0027679,FBgn0035352
CG1264	FBan0001264	FBgn0002522	lab	labial	FBgn0010742
CG1265	FBan0001265	FBgn0035517	CG1265	CG1265	FBgn0063067
CG1268	FBan0001268	FBgn0035521	CG1268	CG1268	
CG9901	FBan0009901	FBgn0011742	Arp14D	Actin-related protein 14D	
CG9902	FBan0009902	FBgn0030757	CG9902	CG9902	
CG9903	FBan0009903	FBgn0030756	CG9903	CG9903	
CG9904	FBan0009904	FBgn0040336	CG9904	CG9904	FBgn0029631
CG9906	FBan0009906	FBgn0030755	CG9906	CG9906	
CG9907	FBan0009907	FBgn0003036	para	paralytic	FBgn0001727,FBgn0003320
CG9908	FBan0009908	FBgn0000459	disco	disconnected	
CG32720	FBan0032720	FBgn0052720	CG32720	CG32720	FBgn0045438
CG32721	FBan0032721	FBgn0027553	CG32721	CG32721	FBgn0029956,FBgn0052721
CG18143	FBan0018143	FBgn0037219	CG18143	CG18143	
CG18144	FBan0018144	FBgn0032209	Hand	Hand	
CG33453		FBgn0053453	CG33453	CG33453	
CG33454		FBgn0053454	CG33454	CG33454	
CG18145	FBan0018145	FBgn0032189	Rip&agr;	RPA-interacting protein &agr;	
CG33455	FBan0015610	FBgn0053455	CG33455	CG33455	FBgn0034170
CG32726	FBan0032726	FBgn0052726	CG32726	CG32726	FBgn0062923
CG18146	FBan0018146	FBgn0028939	CG18146	CG18146	FBgn0032541
CG33456	FBan0015610	FBgn0053456	CG33456	CG33456	FBgn0034170
CG32727	FBan0032727	FBgn0052727	CG32727	CG32727	
CG33458		FBgn0053458	CG33458	CG33458	
CG33459		FBgn0053459	CG33459	CG33459	
CG1271	FBan0001271	FBgn0035392	CG1271	CG1271	
CG1273	FBan0001273	FBgn0035522	CG1273	CG1273	
CG1274	FBan0001274	FBgn0040308	Jafrac2	thioredoxin peroxidase 2	FBgn0035389
CG1275	FBan0001275	FBgn0035321	CG1275	CG1275	FBgn0062138
CG1276	FBan0001276	FBgn0015829	TfIIE&bgr;	Transcription factor IIE&bgr;	
CG1279	FBan0001279	FBgn0015831	Rtnl2	Rtnl2	FBgn0046598
CG9911	FBan0009911	FBgn0030734	CG9911	CG9911	FBgn0030736
CG9913	FBan0009913	FBgn0038205	Kif19A	Kif19A	
CG9914	FBan0009914	FBgn0030737	CG9914	CG9914	
CG9915	FBan0009915	FBgn0030738	CG9915	CG9915	
CG9916	FBan0009916	FBgn0004432	Cyp1	Cyclophilin 1	FBgn0047257
CG9917	FBan0009917	FBgn0030740	CG9917	CG9917	FBgn0044642
CG9918	FBan0009918	FBgn0038201	CG9918	CG9918	FBgn0046613,FBgn0046614
CG9919	FBan0009919	FBgn0030742	CG9919	CG9919	
CG33460		FBgn0053460	CG33460	CG33460	FBgn0034038,FBgn0050086
CG32732	FBan0032732	FBgn0052732	CG32732	CG32732	FBgn0029921,FBgn0029923
CG33461	FBan0030086	FBgn0053461	CG33461	CG33461	FBgn0034038,FBgn0050086
CG32733	FBan0032733	FBgn0052733	CG32733	CG32733	
CG33462	FBan0030086	FBgn0053462	CG33462	CG33462	FBgn0034038,FBgn0050086
CG33463		FBgn0053463	CG33463	CG33463	
CG33464		FBgn0053464	CG33464	CG33464	
CG18155	FBan0018155	FBgn0029945	CG18155	CG18155	
CG18156	FBan0018156	FBgn0035725	CG18156	CG18156	FBgn0063053
CG33465		FBgn0053465	CG33465	CG33465	FBgn0082660
CG32736	FBan0032736	FBgn0052736	CG32736	CG32736	FBgn0040920,FBgn0040921,FBgn0062989
CG18157	FBan0018157	FBgn0030563	CG18157	CG18157	
CG33466	FBan0012956	FBgn0034004	Fs	Fs	FBgn0040746,FBgn0053466
CG33467		FBgn0053467	CG33467	CG33467	
CG33468		FBgn0053468	CG33468	CG33468	
CG33469		FBgn0053469	CG33469	CG33469	
CG1287	FBan0001287	FBgn0037506	CG1287	CG1287	FBgn0046308
CG1288	FBan0001288	FBgn0037484	CG1288	CG1288	FBgn0046235,FBgn0062509
CG9920	FBan0009920	FBgn0038200	CG9920	CG9920	FBgn0044582,FBgn0045814
CG9921	FBan0009921	FBgn0030743	CG9921	CG9921	
CG9922	FBan0009922	FBgn0038196	CG9922	CG9922	FBgn0045152,FBgn0047091
CG9925	FBan0009925	FBgn0038191	CG9925	CG9925	
CG9926	FBan0009926	FBgn0038190	CG9926	CG9926	
CG9927	FBan0009927	FBgn0038189	Art6	Arginine methyltransferase 6	
CG9928	FBan0009928	FBgn0032472	CG9928	CG9928	FBgn0046995
CG9929	FBan0009929	FBgn0038188	Art9	Arginine methyltransferase 9	
CG16700	FBan0016700	FBgn0030816	CG16700	CG16700	
CG33470		FBgn0053470	CG33470	CG33470	
CG32741	FBan0032741	FBgn0052741	CG32741	CG32741	
CG32742	FBan0032742	FBgn0028360	l(1)G0148	lethal (1) G0148	FBgn0028359,FBgn0029883,FBgn0029884,FBgn0040156,FBgn0052742,FBgn0066815
CG16704	FBan0016704	FBgn0031558	CG16704	CG16704	FBgn0047025
CG32743	FBan0032743	FBgn0052743	Smg1	Smg1	FBgn0026002,FBgn0029908,FBgn0029910,FBgn0046599
CG16705	FBan0016705	FBgn0039102	CG16705	CG16705	
CG33472		FBgn0053472	CG33472	CG33472	FBgn0050032,FBgn0062504,FBgn0066054
CG33473	FBan0017326	FBgn0040765	luna	luna	FBgn0033575,FBgn0053473
CG32744	FBan0032744	FBgn0052744	CG32744	CG32744	FBgn0029855
CG33474		FBgn0053474	CG33474	CG33474	
CG32745	FBan0032745	FBgn0052745	CG32745	CG32745	
CG16707	FBan0016707	FBgn0045823	vsg	visgun	FBgn0036034,FBgn0062200
CG33475		FBgn0053475	CG33475	CG33475	
CG17437	FBan0017437	FBgn0040066	wds	will die slowly	FBgn0001403,FBgn0027252,FBgn0029626
CG18166	FBan0018166	FBgn0029526	CG18166	CG18166	FBgn0043840
CG16708	FBan0016708	FBgn0037315	CG16708	CG16708	
CG33476		FBgn0053476	CG33476	CG33476	
CG17438	FBan0017438	FBgn0030116	CG17438	CG17438	
CG33477		FBgn0053477	CG33477	CG33477	
CG33478	FBan0017849	FBgn0026388	Or46a	Odorant receptor 46a	FBgn0026387,FBgn0053478
CG33479		FBgn0053479	CG33479	CG33479	
CG1291	FBan0001291	FBgn0035401	CG1291	CG1291	
CG1294	FBan0001294	FBgn0033030	CG1294	CG1294	
CG1295	FBan0001295	FBgn0035509	CG1295	CG1295	
CG1298	FBan0001298	FBgn0033032	CG1298	CG1298	
CG1299	FBan0001299	FBgn0035501	CG1299	CG1299	
CG9930	FBan0009930	FBgn0008646	E5	E5	FBgn0038187
CG9932	FBan0009932	FBgn0032469	CG9932	CG9932	
CG9933	FBan0009933	FBgn0028965	A16	A16	FBgn0032468
CG9934	FBan0009934	FBgn0032467	CG9934	CG9934	
CG9935	FBan0009935	FBgn0039916	CG9935	CG9935	
CG9936	FBan0009936	FBgn0003415	skd	skuld	FBgn0024200,FBgn0024569,FBgn0024577,FBgn0037043,FBgn0041162
CG9938	FBan0009938	FBgn0030500	CG9938	CG9938	
CG16710	FBan0016710	FBgn0039101	CG16710	CG16710	
CG17440	FBan0017440	FBgn0030120	CG17440	CG17440	
CG16711	FBan0016711	FBgn0036032	CG16711	CG16711	
CG16712	FBan0016712	FBgn0031561	CG16712	CG16712	FBgn0047018,FBgn0047049
CG32750	FBan0032750	FBgn0052750	CG32750	CG32750	FBgn0029847
CG18170	FBan0032316	FBgn0035239	CG18170	CG18170	FBgn0052316
CG16713	FBan0016713	FBgn0031560	CG16713	CG16713	
CG18171	FBan0018171	FBgn0035262	CG18171	CG18171	
CG32751	FBan0032751	FBgn0052751	CG32751	CG32751	FBgn0029847
CG33481		FBgn0053481	dpr7	dpr7	
CG33482		FBgn0053482	CG33482	CG33482	FBgn0028854
CG18173	FBan0018173	FBgn0035265	CG18173	CG18173	
CG32754	FBan0032754	FBgn0040069	vanin-like	vanin-like	FBgn0029847,FBgn0052754
CG16716	FBan0016716	FBgn0034459	CG16716	CG16716	FBgn0044605
CG18174	FBan0018174	FBgn0028694	Rpn11	Rpn11	
CG33483		FBgn0053483	CG33483	CG33483	
CG16717	FBan0016717	FBgn0036028	CG16717	CG16717	
CG33484	FBan0005699	FBgn0052311	zormin	zormin	FBgn0035303,FBgn0035304,FBgn0035305,FBgn0035306,FBgn0035307,FBgn0052309,FBgn0053484,FBgn0062502
CG32755	FBan0032755	FBgn0052755	CG32755	CG32755	
CG17446	FBan0017446	FBgn0030121	CG17446	CG17446	
CG16718	FBan0016718	FBgn0038721	CG16718	CG16718	
CG33485	FBan0031114	FBgn0038282	dpr9	dpr9	FBgn0038283,FBgn0038284,FBgn0051114,FBgn0063286
CG18176	FBan0018176	FBgn0036038	defl	deflated	
CG32756	FBan0032756	FBgn0052756	CG32756	CG32756	FBgn0047202
CG16719	FBan0016719	FBgn0036029	CG16719	CG16719	
CG33486		FBgn0041607	asparagine-synthetase	asparagine synthetase	FBgn0053486
CG18177	FBan0018177	FBgn0036039	CG18177	CG18177	
CG32758	FBan0032758	FBgn0052758	CG32758	CG32758	FBgn0029794,FBgn0029796,FBgn0040916
CG18178	FBan0018178	FBgn0036035	CG18178	CG18178	
CG33487		FBgn0053487	CG33487	CG33487	
CG18179	FBan0018179	FBgn0036023	CG18179	CG18179	FBgn0043787
CG33488		FBgn0067782	att-ORFB	alternative testis transcripts open reading frame B	FBgn0019839
CG33489	FBan0006110	FBgn0053489	CG33489	CG33489	FBgn0036174
CG9940	FBan0009940	FBgn0030512	CG9940	CG9940	
CG9941	FBan0009941	FBgn0030514	CG9941	CG9941	
CG9943	FBan0009943	FBgn0029117	Surf1	Surfeit 1	FBgn0035723,FBgn0063225
CG9945	FBan0009945	FBgn0034527	CG9945	CG9945	
CG9946	FBan0009946	FBgn0004925	eIF-2&agr;	eIF-2&agr;	FBgn0024971
CG9947	FBan0009947	FBgn0030752	CG9947	CG9947	
CG9948	FBan0009948	FBgn0035721	CG9948	CG9948	
CG9949	FBan0009949	FBgn0003410	sina	seven in absentia	FBgn0025204
CG16720	FBan0016720	FBgn0004168	5-HT1A	Serotonin receptor 1A	
CG16721	FBan0016721	FBgn0029820	CG16721	CG16721	
CG17450	FBan0017450	FBgn0040028	CG17450	CG17450	
CG18180	FBan0018180	FBgn0036024	CG18180	CG18180	
CG16723	FBan0016723	FBgn0039092	CG16723	CG16723	
CG33490	FBan0006110	FBgn0053490	CG33490	CG33490	FBgn0036174
CG17453	FBan0017453	FBgn0033982	Cyp317a1	Cyp317a1	
CG33491		FBgn0053491	CG33491	CG33491	
CG32762	FBan0032762	FBgn0052762	CG32762	CG32762	
CG16724	FBan0016724	FBgn0003741	tra	transformer	
CG32763	FBan0032763	FBgn0026702	l(1)G0045	lethal (1) G0045	FBgn0027222,FBgn0027523,FBgn0052763
CG33492		FBgn0040849	CG33492	CG33492	FBgn0053492
CG16725	FBan0016725	FBgn0036641	Smn	survival motor neuron	FBgn0025499
CG33493		FBgn0053493	CG33493	CG33493	FBgn0036100
CG33494		FBgn0053494	CG33494	CG33494	FBgn0064911
CG16727	FBan0016727	FBgn0038719	CG16727	CG16727	
CG16728	FBan0016728	FBgn0033539	CG16728	CG16728	
CG18186	FBan0018186	FBgn0034255	CG18186	CG18186	
CG33495		FBgn0024381	Dup99B	Ductus ejaculatorius peptide 99B	FBgn0053495
CG33496		FBgn0053496	CG33496	CG33496	
CG32767	FBan0032767	FBgn0052767	CG32767	CG32767	FBgn0029742,FBgn0029743,FBgn0047261
CG18188	FBan0018188	FBgn0033659	Damm	Death associated molecule related to Mch2	
CG33497		FBgn0053497	Sdic:CG33497	Sdic:CG33497	
CG33498		FBgn0053498	CG33498	CG33498	
CG33499		FBgn0053499	Sdic:CG33499	Sdic:CG33499	
CG9951	FBan0009951	FBgn0036671	CG9951	CG9951	
CG9952	FBan0009952	FBgn0020257	ppa	partner of paired	FBgn0034764
CG9953	FBan0009953	FBgn0035726	CG9953	CG9953	
CG9954	FBan0009954	FBgn0034534	maf-S	maf-S	FBgn0027740
CG9958	FBan0032951	FBgn0031455	snapin	snapin	FBgn0052951
CG17461	FBan0017461	FBgn0039925	Kif3C	Kif3C	FBgn0039926
CG18190	FBan0018190	FBgn0034403	CG18190	CG18190	
CG32770	FBan0032770	FBgn0052770	CG32770	CG32770	FBgn0029732
CG16732	FBan0016732	FBgn0039086	CG16732	CG16732	
CG16733	FBan0016733	FBgn0037665	CG16733	CG16733	
CG32771	FBan0032771	FBgn0052771	CG32771	CG32771	FBgn0029732
CG17462	FBan0017462	FBgn0039251	CG17462	CG17462	
CG16734	FBan0016734	FBgn0037667	CG16734	CG16734	
CG32772	FBan0032772	FBgn0052772	CG32772	CG32772	FBgn0029734,FBgn0029735
CG16735	FBan0016735	FBgn0037666	CG16735	CG16735	
CG32773	FBan0032773	FBgn0052773	CG32773	CG32773	
CG18193	FBan0018193	FBgn0037579	CG18193	CG18193	
CG16736	FBan0016736	FBgn0037668	CG16736	CG16736	
CG32774	FBan0032774	FBgn0052774	CG32774	CG32774	FBgn0029699,FBgn0040903
CG16738	FBan0016738	FBgn0003430	slp1	sloppy paired 1	FBgn0010610
CG32776	FBan0032776	FBgn0052776	CG32776	CG32776	FBgn0029682,FBgn0029683,FBgn0062938
CG16739	FBan0016739	FBgn0034505	CG16739	CG16739	
CG32778	FBan0032778	FBgn0052778	CG32778	CG32778	FBgn0029691
CG17469		FBgn0067895	Mitf	Mitf	FBgn0040845
CG32779	FBan0032779	FBgn0052779	CG32779	CG32779	FBgn0029677,FBgn0042113
CG9960	FBan0032951	FBgn0031454	CG9960	CG9960	FBgn0052951
CG9961	FBan0009961	FBgn0031451	CG9961	CG9961	
